Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0550337	0.47685185	0.95053923	1.1360413	0.7424806	0.73014486	0.23595785	-1.5807447	-0.22292507	2.211456	2.2145834	0.14292596	0.100005016	6.259023	8.751291	23.906925	-8.239445	3.5835862	1.2937794	7.353957	0.9203512	18.342592	5998	4000.0	263.06527829170227
2	1.1610454	0.39267015	0.8620745	1.1881422	0.97169983	0.97147995	0.27034932	-1.79017	-0.70772094	2.557961	2.5613863	0.12187117	0.105005264	8.545065	8.598763	25.08569	-7.514579	3.379484	1.2411482	7.1519	0.9413016	19.3089	6998	8000.0	519.4355783462524
3	1.2659961	0.295858	0.7810653	1.0888623	1.0118289	1.0113461	0.28021935	-1.692005	-1.1266114	2.8338244	2.8335047	0.112458624	0.110255525	9.531708	22.82374	22.78514	-265.98972	3.0781603	1.2703164	6.143934	0.0	25.680473	7998	12000.0	765.5064556598663
4	1.3707429	0.28787878	0.71024805	1.0101628	1.1169853	1.1170938	0.29683965	-1.716919	-1.5277112	3.0496993	3.0462506	0.10368928	0.11576826	12.565977	8.227136	26.07176	-4.6105957	3.0408492	1.3130782	6.4362884	0.9109806	20.161615	8998	16000.0	998.9913845062256
5	1.4761223	0.29381442	0.64450693	0.89912754	1.2475444	1.2471397	0.3187608	-1.803133	-1.9428364	3.275782	3.2701044	0.09527014	0.12155673	13.26331	8.815802	26.989397	-8.43826	2.9673789	1.3639717	6.4412885	0.9105993	20.51031	9999	20000.0	1237.4000141620636
6	1.5811008	0.24742268	0.58703136	0.7222776	1.3601798	1.3603647	0.33837298	-1.822202	-2.180944	3.4257684	3.418728	0.086440615	0.12763457	15.016853	8.277829	26.754147	-4.0797086	2.8699968	1.3586209	6.149177	0.6627762	20.62371	10998	24000.0	1466.829021692276
7	1.686219	0.2994924	0.5338414	0.6377815	1.5350374	1.5347632	0.35991484	-2.007408	-2.608813	3.4205024	3.4127789	0.07765449	0.13401628	14.425389	8.341186	27.303848	-3.4302003	2.9051929	1.3609314	5.9109554	0.67784196	20.350254	12000	28000.0	1698.7829232215881
8	1.7903472	0.16483517	0.48687795	0.5315711	1.697144	1.6975005	0.37424782	-2.0259712	-2.7057788	3.376475	3.369893	0.071652465	0.14071707	17.666473	6.779153	27.745777	-1.8013973	2.7155397	1.2336786	5.7914243	0.89153033	21.478022	12998	32000.0	1935.3920998573303
9	1.8947496	0.25165564	0.44129664	0.5202552	1.9568645	1.9566219	0.3998632	-2.2747192	-3.39016	3.3644376	3.3564935	0.0655766	0.14775296	15.990248	8.275591	26.761003	-14.236537	2.7465975	1.3036915	6.679142	0.0	27.086092	13998	36000.0	2190.396144390106
10	1.9980562	0.24352331	0.4000646	0.47008985	2.1167397	2.116731	0.41237748	-2.2528112	-3.6633203	3.2796552	3.2705445	0.062072262	0.15514056	16.809162	8.03034	28.542631	-1.0234149	2.7574608	1.2769046	6.589965	0.69918454	20.68912	15000	40000.0	2424.3014240264893
11	2.100668	0.17837837	0.36310983	0.4222597	2.354618	2.3539853	0.42833582	-2.4202402	-4.003204	3.2048323	3.1925683	0.058402415	0.16289762	18.40289	7.1715465	29.21637	0.27859804	2.5648322	1.1663996	5.253563	0.91445917	21.513514	15998	44000.0	2654.7146122455597
12	2.2034757	0.18947369	0.329575	0.38388646	2.559838	2.5601084	0.43851602	-2.476937	-4.2320223	3.0871236	3.0731168	0.05595562	0.17104249	18.907917	7.4232464	30.905918	1.2153012	2.554997	1.2176319	5.394978	0.91036826	21.263159	16998	48000.0	2883.348940849304
13	2.3054848	0.18478261	0.29922885	0.34312218	2.8281035	2.8285856	0.45605245	-2.695137	-4.67267	2.9971833	2.9785883	0.053218406	0.17959465	19.513569	7.665168	31.188513	0.89510465	2.5633001	1.2316252	5.577915	0.91270965	21.60326	17998	52000.0	3110.9015634059906
14	2.4074185	0.21761657	0.27135915	0.30759898	3.0148666	3.0145376	0.4603186	-2.6929643	-4.8346486	2.8842707	2.8629854	0.05118142	0.18857437	18.556671	7.999897	30.075045	-3.2920094	2.5378458	1.2432412	5.3591013	0.90890175	20.761658	18998	56000.0	3354.24373793602
15	2.5086129	0.2393617	0.24616717	0.2811781	3.317997	3.3170004	0.4794998	-3.0099292	-5.6221	2.797769	2.7711737	0.050267838	0.19800308	19.114338	8.2143955	30.350283	1.0169762	2.7332711	1.3220149	6.930979	0.9114391	21.18617	19998	60000.0	3608.4680683612823
16	2.6108975	0.14594595	0.222429	0.24293464	3.5541153	3.5534742	0.49202526	-3.1369658	-5.963486	2.7096748	2.6758494	0.04895212	0.20790324	20.914944	7.059287	30.391607	2.4336116	2.3602288	1.1718348	5.9230094	0.66677713	21.572973	20998	64000.0	3858.621550798416
17	2.7120047	0.1861702	0.20213757	0.21812811	3.742549	3.742456	0.49612898	-3.1369233	-5.9040146	2.607397	2.5678349	0.04773272	0.21829838	20.131414	7.6443796	30.992096	2.8128061	2.4797812	1.2422665	5.9496655	0.90988344	21.335106	21998	68000.0	4099.646026134491
18	2.8128235	0.1904762	0.18374728	0.19967963	4.003698	4.0029674	0.5088374	-3.3483486	-6.572143	2.5166843	2.470913	0.04712086	0.22921327	20.290958	7.959205	31.52383	1.2026066	2.4911897	1.2586806	5.707747	0.9100636	21.306879	22998	72000.0	4343.526500701904
19	2.9137266	0.18716578	0.1667023	0.17375243	4.187826	4.1880045	0.51398295	-3.3841627	-6.495253	2.4241924	2.373835	0.045699783	0.2406739	20.524376	7.5088906	31.972095	2.1253657	2.5038564	1.2759811	5.694974	0.9124106	21.390375	23998	76000.0	4589.625507354736
20	3.0146966	0.16847827	0.15080014	0.16212912	4.506603	4.5055413	0.5266796	-3.6780899	-7.4913883	2.411403	2.352624	0.046486843	0.2527077	21.187109	7.5418572	30.82573	3.29124	2.464876	1.2623161	6.0362625	0.66777813	21.625	24998	80000.0	4825.082432508469
21	3.115505	0.18716578	0.13666014	0.14602463	4.735237	4.735007	0.5338446	-3.829567	-7.85059	2.3511539	2.285632	0.045453984	0.26534307	20.761377	7.5478888	32.91367	2.8831713	2.4784186	1.1891773	5.58349	0.9122377	21.44385	25998	84000.0	5050.71911406517
22	3.2154484	0.13513513	0.12408237	0.13491186	4.86196	4.8609295	0.5332246	-3.7336752	-7.737083	2.2045698	2.1415226	0.043760963	0.27861014	21.303022	7.0248985	31.731178	2.7933397	2.3573358	1.1548481	6.056368	0.8963799	21.497297	26998	88000.0	5288.145090579987
23	3.315543	0.13586956	0.11308982	0.12145661	5.093132	5.0934134	0.54220754	-3.8998606	-7.7863946	2.164101	2.0960014	0.043624878	0.29254067	21.761063	6.6511707	30.318806	2.6806624	2.3502216	1.2838651	6.26453	0.6657782	21.804348	27998	92000.0	5512.0563843250275
24	3.4154603	0.17741935	0.10267662	0.11438945	5.280924	5.280832	0.5443438	-3.9434566	-8.287598	2.1026983	2.0352094	0.042989913	0.3071677	20.662516	7.4637923	31.976997	1.8309507	2.4327497	1.2558005	5.681694	0.667527	21.365591	28998	96000.0	5732.266856431961
25	3.5153604	0.15300547	0.092949405	0.10934467	5.48917	5.4894304	0.548932	-4.071328	-8.687245	2.0488162	1.9770284	0.04234169	0.32252607	21.353262	7.502303	33.438747	3.711302	2.3799686	1.2036985	5.916482	0.91040355	21.836065	29998	100000.0	5952.820708274841
26	3.6153178	0.12972973	0.08450659	0.10169551	5.7559705	5.7555647	0.5568113	-4.315077	-9.343687	2.0639951	1.9897151	0.043685026	0.3386524	21.51418	6.8826833	32.024216	2.5106077	2.3776531	1.1975583	6.2195663	0.9083948	21.891891	31000	104000.0	6183.2610721588135
27	3.7151327	0.083333336	0.07656182	0.099999875	5.854252	5.853783	0.554266	-4.192201	-9.127422	1.9251672	1.8587155	0.041851845	0.35558507	22.054476	6.160085	29.876865	-1.5424336	2.1229327	1.1050769	6.6159196	0.67820525	22.066668	31998	108000.0	6411.575412988663
28	3.8144784	0.13043478	0.06957991	0.09380977	6.061416	6.0607843	0.5574356	-4.3392773	-9.245907	1.9188305	1.8506218	0.041741643	0.3733644	21.363552	6.749067	31.607119	2.6762288	2.2633915	1.1215277	6.028834	0.90925765	21.809782	32998	112000.0	6637.810713768005
29	3.9135864	0.13513513	0.06320869	0.09184657	6.2120566	6.210084	0.55553114	-4.332797	-9.573371	1.8478589	1.7875445	0.041179154	0.39203253	21.281265	7.213828	30.553635	2.8351462	2.1357422	1.0509819	5.9599466	0.908706	21.497297	33998	116000.0	6874.241041183472
30	4.012923	0.11956522	0.057364464	0.089852735	6.5000157	6.4994955	0.5586633	-4.66571	-10.267672	1.9398848	1.8779337	0.041900285	0.4116341	22.08849	6.5243225	31.697372	4.0416183	2.2281291	1.1116701	5.4183903	0.91190636	21.880434	34999	120000.0	7098.029034852982
31	4.1123095	0.09836066	0.051884975	0.08992456	6.729384	6.7283554	0.5598431	-4.909103	-10.773558	1.9137822	1.852324	0.041356545	0.43221584	22.148296	6.497081	30.997545	3.0469732	2.1129632	1.0738991	5.025808	0.90857583	21.721312	35998	124000.0	7334.555704116821
32	4.211519	0.14673913	0.047110345	0.087922454	6.795376	6.7954698	0.5594635	-4.6878643	-10.508785	1.8235328	1.7710232	0.04048217	0.45382667	21.607838	7.6152005	31.623405	1.5181499	2.2582226	1.1255122	5.239406	0.9092687	21.809782	36998	128000.0	7567.4213144779205
33	4.3107777	0.08888889	0.042793952	0.086421736	6.970306	6.9699416	0.562343	-4.7788863	-10.914236	1.7898487	1.7376746	0.040755432	0.47651803	22.33019	6.272241	30.715952	3.2618332	2.1738625	1.0514101	6.3799253	0.6677631	22.244444	37998	132000.0	7804.63107085228
34	4.409344	0.08287293	0.038700838	0.08729242	7.2866254	7.2861695	0.5546505	-5.2325196	-11.829319	1.917889	1.8644295	0.04131907	0.5003439	21.752651	6.1989183	30.48191	1.2084322	2.1518223	0.9881749	5.470145	0.9115641	22.110497	38999	136000.0	8037.944059610367
35	4.5081315	0.07103825	0.03509031	0.08445657	7.3663354	7.365026	0.5570248	-5.0836024	-11.589162	1.8246369	1.7767903	0.040899664	0.525361	22.264341	5.8314657	32.13405	1.5983503	2.0120313	0.9243567	5.0042276	0.6676887	21.874317	39998	140000.0	8264.789286851883
36	4.6068583	0.0726257	0.031844523	0.08473811	7.568996	7.568838	0.55355096	-5.2762303	-12.093396	1.8400767	1.7940434	0.040772192	0.551629	22.427244	5.8824	31.603569	2.2833056	1.9296986	0.9511729	5.2704577	0.9114129	22.234636	40998	144000.0	8493.323217868805
