Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0549549	0.44751382	0.9488547	1.209663	0.5844259	0.5790995	0.1778462	-1.5539294	-0.26988775	1.7257744	1.7281874	0.11133223	0.100005016	6.2951174	8.419264	22.380358	-8.458945	4.0558724	1.3384793	8.1941	1.158283	18.950275	5998	4000.0	254.20662212371826
2	1.1590061	0.38405797	0.8547705	1.2806491	0.7497387	0.749421	0.20139416	-1.675863	-0.81015533	1.980946	1.9806229	0.09288051	0.105005264	6.146376	26.523157	23.600534	-287.8789	3.5360222	1.3668983	7.481243	0.0	26.57971	6998	8000.0	502.6346776485443
3	1.2623445	0.27173913	0.7772368	1.1494977	0.7718036	0.77188706	0.2180123	-1.5230199	-1.1748979	2.3662212	2.3653946	0.08820213	0.110255525	9.398085	25.228172	24.04837	-313.40805	3.650228	1.3537583	7.0313377	0.0	26.402174	7998	12000.0	755.9270861148834
4	1.3687468	0.23195876	0.7059835	1.1094472	0.94068223	0.94142556	0.23853412	-1.6367031	-1.6367964	2.7646997	2.7630537	0.083272144	0.11576826	12.627556	7.6757116	23.36447	-7.2782383	3.1932354	1.2870367	6.852656	0.94346243	20.56701	8998	16000.0	1007.9914283752441
5	1.475638	0.26943004	0.64218956	0.96419513	1.0493385	1.0497547	0.25852332	-1.6411211	-1.9633482	3.0614808	3.0591793	0.07676858	0.12155673	13.519794	8.223642	25.830847	-6.198176	3.270592	1.3457514	8.395654	0.91350263	20.803108	9998	20000.0	1259.0247836112976
6	1.582783	0.3010204	0.5841349	0.829198	1.1936796	1.1940092	0.28116134	-1.7568012	-2.362914	3.2691398	3.2668025	0.07112163	0.12763457	13.621699	8.544049	28.366018	-2.9698563	3.2519636	1.371487	7.2017617	0.906437	20.387754	10998	24000.0	1502.517340183258
7	1.6888698	0.27979276	0.5320053	0.6675692	1.3283368	1.3284857	0.30073094	-1.8338076	-2.5986717	3.400432	3.3981822	0.06701929	0.13401628	14.502957	8.664432	30.151722	-2.483642	3.1794705	1.3722901	6.5318	1.1312888	20.756477	11998	28000.0	1743.9482774734497
8	1.7948912	0.27748692	0.4815993	0.58362883	1.530808	1.5305954	0.32395858	-2.0971484	-3.3418026	3.4392052	3.43707	0.061388355	0.14071707	15.038998	8.044165	27.161274	-1.6745732	3.1165893	1.2773583	6.002674	0.9353259	20.921467	12998	32000.0	1988.2333521842957
9	1.8996843	0.29166666	0.43689838	0.4840927	1.71059	1.7106767	0.33635053	-2.1657228	-3.3713763	3.4107099	3.4091537	0.058842313	0.14775296	15.986056	8.545222	29.029747	-0.121456355	3.0907087	1.3070748	6.058292	0.92658865	20.833334	13998	36000.0	2230.1506741046906
10	2.0023625	0.28865978	0.39848217	0.43684283	1.9428318	1.9428755	0.34954205	-2.364847	-3.7377934	3.3532724	3.3511724	0.055446733	0.15514056	16.241413	8.643379	30.829206	-0.9739509	3.0970285	1.2823769	6.2008834	0.9109835	20.659794	14998	40000.0	2469.4947621822357
11	2.10558	0.24064171	0.36133185	0.3964013	2.1794498	2.179277	0.3657315	-2.5425382	-4.113874	3.2670429	3.265457	0.053549286	0.16289762	17.615202	7.877008	29.703884	1.5678165	2.9750702	1.328895	6.732419	0.91239417	21.28877	15998	44000.0	2706.0408668518066
12	2.2076	0.23157895	0.3288192	0.35612994	2.4004989	2.4007466	0.37267718	-2.6212363	-4.291704	3.183708	3.1819012	0.051934578	0.17104249	17.82569	7.6772394	29.833347	1.6222272	2.8686073	1.2158706	6.302858	0.92725646	21.189474	16998	48000.0	2938.440020799637
13	2.3087628	0.18085106	0.29850367	0.3222457	2.6444466	2.64422	0.3775431	-2.7573266	-4.619988	3.0633242	3.0606406	0.050267812	0.17959465	19.09591	7.6255755	31.112196	0.15531789	2.7772763	1.2870308	6.42161	0.91613543	21.175531	17998	52000.0	3172.6310811042786
14	2.4096172	0.20744681	0.2711438	0.2922759	2.9250584	2.9246223	0.39046684	-3.0339816	-5.1516247	2.9761977	2.9706943	0.048118737	0.18857437	19.37903	7.9386477	31.37513	1.0836208	2.681376	1.2504648	5.688048	0.6658863	21.335106	18999	56000.0	3410.144880771637
15	2.510452	0.17391305	0.24612045	0.24474774	3.1698503	3.1698081	0.3974541	-3.1491828	-5.1852236	2.8721051	2.863633	0.04745369	0.19800308	20.103365	7.3995504	30.903578	2.0167663	2.5416915	1.1241117	5.346978	0.66472286	21.744566	20000	60000.0	3649.092793941498
16	2.6119535	0.2204301	0.2231597	0.22684549	3.4211347	3.4204738	0.4061435	-3.3400626	-5.8562098	2.7632532	2.7488496	0.04632571	0.20790324	19.63805	8.022929	31.629803	-0.9533821	2.7695427	1.2884864	5.9616857	0.9082777	21.5	20998	64000.0	3879.4491300582886
17	2.7118022	0.16304348	0.20256582	0.20125578	3.6063638	3.6060262	0.403294	-3.3398874	-5.70761	2.6235213	2.6058342	0.045139316	0.21829838	20.033821	7.0255914	31.65116	2.1124783	2.5552223	1.1987746	6.484682	0.93022203	21.711956	21998	68000.0	4108.4530963897705
18	2.8113902	0.16216215	0.18439582	0.17963794	3.8655767	3.8649607	0.41483575	-3.5202594	-6.0499125	2.534073	2.51019	0.044259112	0.22921327	20.108768	7.184445	31.6379	1.5478673	2.523006	1.2177037	6.2954483	0.66558623	21.556757	22998	72000.0	4339.923498392105
19	2.9117785	0.18181819	0.16725214	0.16201325	4.0739145	4.0732718	0.41563612	-3.6085515	-6.407373	2.4107642	2.381977	0.042703677	0.2406739	20.944212	7.4734797	31.088951	1.5017642	2.461413	1.2401472	5.958499	0.6651804	21.304813	23998	76000.0	4567.161184549332
20	3.0109837	0.171123	0.15222576	0.14471456	4.287153	4.286856	0.4210529	-3.712172	-6.5343432	2.3396225	2.3056777	0.04148987	0.2527077	21.167318	7.6950216	32.197884	0.84114516	2.571644	1.2333567	5.6970744	0.90949464	21.582888	25000	80000.0	4796.309440612793
21	3.1118603	0.1388889	0.13748734	0.13304162	4.637629	4.6373725	0.43275484	-4.117564	-7.4004354	2.3281574	2.2858977	0.042243794	0.26534307	21.658703	7.2333307	31.32961	1.7840985	2.4521084	1.1659842	5.706526	0.90809417	22.1	25998	84000.0	5031.38639497757
22	3.2116416	0.13661203	0.12482033	0.12527663	4.8274198	4.827214	0.43459618	-4.170178	-7.65251	2.2160661	2.167257	0.040941708	0.27861014	21.206806	6.772592	32.54247	-0.7123605	2.444034	1.2173114	5.8046927	0.90915495	21.994535	26998	88000.0	5266.797645330429
23	3.3114986	0.16756757	0.11316449	0.11241384	5.023166	5.022614	0.4379803	-4.20257	-7.7662463	2.149234	2.0981655	0.040359177	0.29254067	21.16893	7.6219683	30.394558	0.20954965	2.492474	1.2202812	5.698981	0.6655238	21.637838	27998	92000.0	5498.9330904483795
24	3.410713	0.101123594	0.102888554	0.1006427	5.1254945	5.1257668	0.43730682	-4.0824795	-7.4489484	1.9961843	1.9453627	0.039539944	0.3071677	21.927368	6.2067647	31.151758	1.8951967	2.3586779	1.0718176	6.4771023	0.9207084	22.38764	28998	96000.0	5735.888270139694
25	3.5099664	0.12707183	0.093471326	0.100364044	5.3911715	5.390828	0.44045404	-4.3432784	-8.17607	2.0027928	1.9479396	0.03875547	0.32252607	21.805307	6.7446337	32.576073	3.5431826	2.3766322	1.1354985	6.302638	0.6654526	22.071823	29998	100000.0	5973.389139652252
26	3.6089945	0.13043478	0.08459268	0.094782725	5.668498	5.667527	0.4417291	-4.6445274	-8.939516	2.013957	1.9522835	0.039620355	0.3386524	21.791414	6.9641614	32.39414	1.9038734	2.4655397	1.1145165	5.5110955	0.908383	21.831522	30998	104000.0	6207.765517234802
27	3.7083542	0.110497236	0.0766313	0.0918923	5.8193045	5.8191104	0.44667885	-4.6209855	-9.032461	1.9224977	1.8625772	0.038856946	0.35558507	22.181507	6.436166	31.848812	2.9461355	2.3911366	1.0833762	5.6199713	0.89950025	22.0	31998	108000.0	6436.52005147934
28	3.8076508	0.12087912	0.06946387	0.091167256	6.094388	6.0944004	0.44881335	-4.8753667	-9.507582	1.949166	1.8811699	0.038872544	0.3733644	21.942295	6.6700706	31.588074	2.3208575	2.42942	1.1827393	6.042943	0.67190856	22.04945	32998	112000.0	6667.728986263275
29	3.906964	0.10055866	0.0631292	0.08864592	6.2194376	6.218507	0.45036837	-4.8708615	-9.569955	1.8406384	1.7768089	0.03871809	0.39203253	22.19304	6.47084	30.57371	1.6534703	2.316158	1.0572059	6.039065	0.6631975	22.374302	33998	116000.0	6902.1260488033295
30	4.0058804	0.09550562	0.05723288	0.086051606	6.4375215	6.437298	0.4491846	-5.031074	-10.262308	1.8514514	1.7877401	0.038502686	0.4116341	21.916803	6.081466	31.045292	2.9191556	2.3779469	1.0448661	5.472232	0.6647479	22.382023	34998	120000.0	7140.872553348541
31	4.104422	0.07777778	0.05181093	0.0870164	6.6670833	6.667561	0.44943848	-5.258167	-10.769025	1.8799797	1.8156219	0.038822632	0.43221584	22.294018	6.051315	31.224049	-1.2625805	2.2320733	0.9925134	6.4535885	0.90767217	22.211111	35998	124000.0	7374.862216711044
32	4.2030935	0.11235955	0.046947233	0.08792934	6.873199	6.872704	0.4478525	-5.4150653	-11.053428	1.8189322	1.7560444	0.038296334	0.45382667	21.171566	6.402892	31.63736	2.7337832	2.420295	1.0273945	6.391198	0.90763116	22.460674	36998	128000.0	7619.7238783836365
33	4.3015018	0.11891892	0.04256343	0.08529347	7.005358	7.0047126	0.44942805	-5.400574	-11.237938	1.8190745	1.7631551	0.038742006	0.47651803	21.385283	6.552602	30.268976	2.2148979	2.2060604	1.0918081	5.5563917	0.6658495	21.643244	37998	132000.0	7857.240342617035
