Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0587505	0.5181347	0.951722	1.5886452	0.8351921	0.84221923	0.15510626	-2.2027645	-0.328474	1.4020416	1.3976507	0.09330757	0.100005016	5.7610054	8.564858	23.202915	-9.0273695	4.7637243	1.4809827	9.152328	1.7026304	18.663212	5998	4000.0	258.2705271244049
2	1.1653638	0.43307087	0.8613047	1.5621221	0.94261456	0.9419895	0.18608163	-2.1189353	-0.9823168	1.6160065	1.6154358	0.08277669	0.105005264	5.1789284	26.883915	25.80273	-280.0472	4.125601	1.4446882	8.971229	0.9248291	26.566929	6998	8000.0	509.04010224342346
3	1.2704363	0.35	0.7795924	1.5223972	1.0194502	1.0182866	0.20893201	-2.0193295	-1.6263869	1.9890488	1.9866335	0.08475597	0.110255525	8.681226	22.109688	25.989847	-275.4713	3.8199267	1.5194923	9.612299	0.8996845	24.08	7998	12000.0	756.9400758743286
4	1.377493	0.29375	0.7057069	1.4924636	1.120158	1.1186936	0.23053306	-1.9445852	-2.2653227	2.281806	2.2773542	0.08345795	0.11576826	10.040911	22.82062	27.497845	-257.72333	3.8075233	1.3735704	7.6686687	0.9091771	26.0875	8998	16000.0	1010.5243124961853
5	1.4839463	0.25510204	0.63892585	1.4323223	1.2473997	1.2465243	0.2518487	-1.9193627	-2.883546	2.5935895	2.5880387	0.07963174	0.12155673	13.493319	9.020682	27.224186	-7.395606	3.6982124	1.5477328	9.867418	0.9077083	20.47449	9998	20000.0	1260.738646030426
6	1.5904874	0.26041666	0.5786439	1.3577313	1.3933191	1.3929995	0.2732809	-1.9209126	-3.4801161	2.883647	2.8778872	0.075395726	0.12763457	14.724396	8.634145	29.852058	-7.223217	3.6417446	1.2169552	7.2487803	1.2095863	20.713541	10998	24000.0	1503.552500486374
7	1.6969097	0.2371134	0.52415603	1.2731614	1.5482334	1.5476545	0.29717022	-1.9382485	-4.053976	3.0853117	3.079781	0.070116885	0.13401628	15.979682	8.544042	29.737226	-7.145249	3.3263834	1.1770203	6.3176103	0.9239869	20.72165	11998	28000.0	1737.276549577713
8	1.8028655	0.17553191	0.4749157	1.173497	1.7199255	1.7188907	0.319435	-1.9860376	-4.598453	3.266753	3.2619135	0.06523633	0.14071707	17.621506	7.783063	29.42842	-6.05019	3.1952832	1.3080455	7.6732063	0.9097591	21.101065	12998	32000.0	1971.9582042694092
9	1.9076718	0.24870466	0.43038812	1.071	1.9055103	1.9048374	0.33662	-2.0636034	-5.119831	3.4176772	3.4126735	0.059880897	0.14775296	17.577774	8.547187	30.333763	-2.9274297	3.2479222	1.329524	7.2124434	0.90803194	20.658031	13998	36000.0	2209.209905385971
10	2.0118482	0.15343915	0.39010113	0.95403147	2.1016996	2.1014795	0.355399	-2.1590967	-5.606373	3.5324385	3.5265949	0.056471985	0.15514056	19.537254	7.314288	34.249672	-3.637704	2.946401	1.1363916	6.021212	1.1569877	21.412699	14998	40000.0	2451.5969347953796
11	2.1159928	0.16931216	0.35368586	0.808353	2.2935705	2.2933688	0.3736093	-2.2825675	-6.0379815	3.61306	3.6063712	0.05384472	0.16289762	19.327848	7.282712	30.617035	1.7873096	2.8782437	1.1389678	6.558616	0.9101039	21.015873	15998	44000.0	2690.8309330940247
12	2.2188501	0.11170213	0.3208641	0.61926496	2.4909236	2.4910064	0.3859555	-2.4440126	-6.388385	3.6797507	3.6720994	0.050715424	0.17104249	20.676218	6.476776	31.37631	-0.48765695	2.4947848	1.0604858	5.605297	0.90911466	21.281916	16998	48000.0	2929.507930994034
13	2.3212278	0.20418848	0.29115954	0.4827059	2.6870885	2.6871402	0.40085644	-2.6188588	-6.7663584	3.6682777	3.658866	0.050230704	0.17959465	18.738129	8.184171	30.717371	0.13833801	2.7618344	1.2128952	5.8052635	0.6635856	21.078533	17999	52000.0	3165.022937297821
14	2.4236274	0.18181819	0.26402453	0.41433564	2.928647	2.9286468	0.41423357	-2.8315468	-7.2120347	3.60963	3.598446	0.047986023	0.18857437	19.20688	7.486922	31.49884	-1.2227937	2.6803803	1.1596856	5.927595	0.90815955	21.074867	18998	56000.0	3434.3404076099396
15	2.52577	0.13829787	0.23923488	0.3763848	3.172901	3.172875	0.42776966	-3.0283234	-7.691882	3.5275347	3.5151749	0.047183763	0.19800308	20.049334	7.052011	30.518023	0.6223526	2.6070392	1.1201594	6.142205	0.90870094	21.542553	19998	60000.0	3674.4796319007874
16	2.627697	0.12903225	0.21665154	0.35529366	3.406783	3.4063697	0.44162402	-3.1890907	-8.192903	3.397175	3.383015	0.046531808	0.20790324	20.99191	6.92815	30.07517	1.2601987	2.4663355	1.142377	6.2083597	0.9090201	21.376345	20998	64000.0	3915.7406125068665
17	2.7294638	0.18947369	0.19614005	0.33313212	3.665382	3.6659057	0.45278752	-3.3649454	-8.6893425	3.2928126	3.2775943	0.04583101	0.21829838	19.364216	7.8723016	31.318798	1.0255977	2.6267295	1.2178358	5.3288383	0.9057743	21.105263	21998	68000.0	4156.15952205658
18	2.8309205	0.13978495	0.17755084	0.31665114	3.9114938	3.9114132	0.4626553	-3.5207877	-9.191811	3.171017	3.1562738	0.045037042	0.22921327	20.369816	7.27138	33.69668	-0.044448856	2.4610882	1.0881591	5.3037033	0.9078907	21.494623	23000	72000.0	4387.821797370911
19	2.931806	0.10810811	0.16071868	0.29386023	4.158915	4.1589227	0.46964407	-3.6986325	-9.679618	3.0451908	3.0296507	0.044128053	0.2406739	21.131422	6.78059	32.3109	1.1495111	2.3652678	1.0940503	6.0996027	0.9094962	21.551352	23998	76000.0	4624.801674127579
20	3.0327353	0.171875	0.1454899	0.27242243	4.3964896	4.396234	0.480667	-3.8368595	-10.165553	2.9319117	2.9150124	0.04402655	0.2527077	19.864042	7.602434	30.644346	1.7686027	2.5503423	1.1033967	5.481013	0.908523	20.927084	24998	80000.0	4866.437254905701
21	3.1334503	0.15625	0.13168941	0.25642994	4.6291327	4.6297107	0.4859217	-3.9727876	-10.65842	2.8089304	2.7914338	0.043205168	0.26534307	20.263033	6.9497457	32.411087	2.8434901	2.4973564	1.1244768	5.050374	0.9077172	20.958334	25998	84000.0	5104.792639732361
