Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.57575756	0.9517471	1.5753989	0.35949272	0.3530323	-1.89378	-0.3274445	2.2185004	2.2164001	-4.2644286	22.255087	18.752804	-260.36017	4.439851	1.4856981	9.265598	0.94773895	24.042425	5998	4000.0	289.5570185184479
2	0.41975307	0.8614715	1.5143352	0.6896562	0.689249	-2.1143334	-0.97336924	2.3222358	2.3146117	2.1000853	10.322075	23.19762	-17.42179	4.092278	1.3840472	7.759561	0.9021162	19.728395	6998	8000.0	538.7805411815643
3	0.31060606	0.7801107	1.422221	1.1511264	1.1522887	-2.4910758	-1.5965753	2.4907005	2.478401	4.1027093	23.18666	24.704857	-240.60178	4.124028	1.5314162	9.557557	1.4965234	29.083334	7998	12000.0	784.9601814746857
4	0.3626943	0.7067804	1.3049773	1.6856633	1.6866826	-2.9710367	-2.1897504	2.6947715	2.6794102	6.8929677	19.652855	25.808634	-232.06737	3.779828	1.3593436	7.307634	0.5	25.704662	8999	16000.0	1011.711229801178
5	0.2606383	0.640535	1.1982613	2.329711	2.3294268	-3.5550497	-2.7628727	2.9603813	2.9406598	11.292551	8.636898	23.572603	-9.856254	3.3594549	1.3708384	8.313661	1.1614227	21.23936	9998	20000.0	1236.7793357372284
6	0.26842105	0.5804955	1.1060587	3.0290658	3.02929	-4.195031	-3.322936	3.1686914	3.1439216	12.499556	9.067935	26.307894	-6.2727785	3.2037778	1.2290695	7.1379194	0.9414651	21.078947	10998	24000.0	1464.1536033153534
7	0.2923077	0.5260269	1.0237616	3.7946167	3.7944922	-4.896706	-3.8717203	3.3596542	3.3251965	13.245599	9.324164	26.235119	-4.7114654	3.0913074	1.1030952	7.1680017	0.9122207	20.558975	11998	28000.0	1689.9488961696625
8	0.2769231	0.47660562	0.95574045	4.510042	4.510296	-5.5500264	-4.4158154	3.5384762	3.4930372	14.116779	9.820306	27.7854	-8.467923	2.9100804	1.1920851	6.3848987	0.9482314	20.487179	12998	32000.0	1912.9041211605072
9	0.2929293	0.43176433	0.8858415	5.228909	5.2288027	-6.2086453	-4.9453692	3.712113	3.6508203	14.435367	9.754305	29.734972	-5.3992696	2.7909122	1.1691979	5.973136	0.93065685	20.126263	13998	36000.0	2140.0562040805817
10	0.2835821	0.39113215	0.8276693	5.9045844	5.904096	-6.8331017	-5.472732	3.9140913	3.831536	14.614228	9.558115	28.685143	-3.47796	2.7989082	1.2202284	7.157908	0.90903556	20.024876	14998	40000.0	2369.0430619716644
