Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
0	137.0	0.0	0.6919192	-2.1261125	8.435642	21.9884	-15.1664095	4.751919	1.3584056	8.78215	0.9408616	16.207071	0.008257242	0.035017524	0.0742535	-0.04546236	4000	1.1920929e-07	142.66556	11.020428	-0.03406048	-9.9355755	-8.897795	1.607589	0.012190124	0.1735	14.0	463.18148374557495
1	155.0	0.0	0.71428573	-1.4355806	8.286044	21.567924	-14.917711	4.431945	1.2532121	8.418931	0.93497986	16.534563	-0.8556268	0.39838782	-0.19506031	-1.637361	8000	-1.4901161e-08	100.72587	1.6372957	-0.059223697	-5.0084877	-0.31401587	1.6028281	0.012152564	0.2705	16.0	934.3852844238281
2	137.0	0.0	0.58798283	0.3769416	8.280473	18.566042	-13.627536	4.2166467	1.3133019	8.6555605	0.8941256	17.111588	-0.33922368	1.2237153	2.1040597	-2.7995222	12000	0.0	60.43722	1.3356407	-0.0634217	-11.115105	-0.050587773	1.5782696	0.014066013	0.33824998	13.0	1402.3671810626984
3	96.0	0.0	0.6075949	-0.23583572	9.258391	22.653597	-16.573677	3.9157414	1.3822246	8.216799	0.9076267	16.113924	0.8470496	1.9188714	4.3510466	-1.1931679	16000	0.0	231.94716	1.3241334	-0.057550862	-75.24361	-0.22894025	1.5584052	0.013869739	0.29875	15.0	1897.674607515335
4	184.0	0.0	0.67896676	-1.6129444	8.392576	29.044096	-12.596783	3.7652166	1.2727056	7.763472	0.8840753	14.693727	0.71636945	2.8807747	6.1529794	-7.3945937	20000	-2.9802322e-08	63.97553	1.3737979	-0.028238386	-7.179825	-0.020356238	1.4592845	0.013518555	0.13375	9.0	2345.649563550949
5	162.0	0.0	0.62068963	0.13484824	8.847336	23.063179	-15.122304	3.600424	1.3139315	7.670149	0.6356207	15.287356	0.529152	2.8138185	5.1846356	-6.5370884	24000	4.4703484e-08	61.780937	1.4765422	-0.04130704	-6.1184063	-0.040242195	1.3867077	0.0142400395	0.18525	9.0	2797.0602123737335
6	90.0	0.0	0.51724136	1.6376432	9.736635	22.944763	-12.721248	3.3873851	1.2891536	7.3992543	0.89642155	15.528735	-0.5578802	3.8714485	11.816462	-5.5890346	28000	-2.9802322e-08	142.94604	0.9325345	-0.0438039	-36.779705	-0.07251841	1.3704324	0.013432748	0.12525	13.0	3283.8229801654816
7	134.0	0.0	0.536	2.784025	10.386594	27.954996	-12.583309	3.3085225	1.3685755	7.5970707	0.91241497	15.94	2.525262	4.7447815	9.691634	-10.233093	32000	1.6763806e-08	79.33841	1.3353775	-0.028995551	-9.703571	-0.028029859	1.1639669	0.014331784	0.08725	10.0	3712.7974445819855
8	140.0	0.0	0.5555556	1.8098944	10.129248	26.514723	-13.250881	3.4113245	1.2408825	6.6367955	0.6550652	15.7579365	3.2683442	4.3085594	10.372973	-8.676043	36000	-2.9802322e-08	68.75116	1.2750006	-0.025301345	-7.2408676	-0.038422108	1.0864072	0.013184607	0.05825	14.0	4141.068039655685
9	128.0	0.0	0.52674896	3.212263	11.677779	29.816097	-13.126393	3.3563108	1.3459417	6.1309543	0.6675335	16.399178	3.179167	4.003027	10.169273	-6.5720873	40000	-4.4703484e-08	71.47119	1.1524916	-0.031004176	-8.05205	-0.03537047	1.0237277	0.015376871	0.1945	13.0	4568.706219911575
10	116.0	0.0	0.5201794	3.8108506	11.369529	28.785631	-13.100186	3.1745842	1.3571889	5.5856175	0.8943223	16.206278	3.4361773	4.6471376	16.483315	-7.774205	44000	-3.3527613e-08	82.23811	1.1303716	-0.025039285	-0.9710541	-0.034044415	0.9925988	0.014788166	0.2575	10.0	5004.711029291153
11	122.0	0.0	0.488	4.118528	10.909564	32.307964	-13.655313	2.9877856	1.3472955	5.7751546	0.63372195	15.956	4.0841045	4.4705386	11.470031	-8.097988	48000	-7.450581e-09	60.335255	1.1660352	-0.015884258	-6.097872	-0.02552265	0.90671945	0.012500324	0.23300001	11.0	5426.119320869446
12	124.0	0.0	0.5081967	4.614094	11.162245	30.722195	-12.8333845	2.9615085	1.3871322	7.327206	0.5608317	16.32377	5.498106	4.212663	13.0882435	-6.2812157	52000	-1.8626451e-08	62.503925	1.2755669	-0.01698481	-4.9004517	-0.012747169	0.8508114	0.013210598	0.211	15.0	5851.027282238007
13	129.0	0.0	0.52868855	3.8312836	11.650265	28.285835	-12.5661	3.091888	1.3165358	6.1515117	0.560962	16.356558	5.2109265	4.067531	12.478166	-8.438121	56000	-1.4901161e-08	59.196625	1.062901	-0.030961506	-4.713789	-0.03691286	0.76178193	0.015520494	0.15575	11.0	6283.589771270752
14	116.0	0.0	0.48739496	4.402949	11.390602	28.037048	-12.478175	2.9742107	1.2899085	5.7347045	0.6675172	16.760504	5.769781	4.179893	13.4177	-8.626026	60000	0.0	53.588936	0.97904754	-0.020887572	-4.3159485	-0.012949854	0.651191	0.012521021	0.122250006	16.0	6720.120274305344
15	118.0	0.0	0.4978903	5.5888286	11.251838	30.506542	-10.679399	2.8916602	1.2241777	5.6169004	0.747994	16.835443	6.267171	4.1957755	14.390258	-10.290101	64000	3.7252903e-08	48.861305	0.8880827	-0.029482894	-2.997795	-0.03532198	0.5715462	0.01303158	0.11825	19.0	7164.3434274196625
16	112.0	0.0	0.4827586	6.688282	11.164952	28.586267	-11.600891	2.8289433	1.226578	5.369706	0.5609559	17.219828	7.22266	4.1427603	15.204454	-11.903983	68000	3.7252903e-08	47.8491	0.8587688	-0.026019007	-2.1367493	-0.013896853	0.57286453	0.013732154	0.07625	9.0	7606.341676235199
