Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	LossPi	LossV	KL	Jc	JcNew	Time
0	106.0	0.0	0.6583851	-3.9388807	23.781984	17.598042	-287.2528	2.367702	1.0824175	5.1	0.0	22.9441	1.4901161e-08	230.08809	0.0	0.09605001	0.09605001	304.167649269104
1	134.0	0.0	0.72432435	-3.2911737	23.272587	20.568884	-301.5405	2.494054	1.071305	4.8	0.0	21.502703	3.7252903e-09	94.52797	0.0	0.115475	0.115475	592.4903283119202
2	138.0	0.0	0.71875	-1.98061	7.9741983	21.162148	-15.57012	2.453125	1.0342019	4.6	0.0	16.729166	-1.21071935e-08	93.051636	0.0	0.118374996	0.118374996	877.8760993480682
3	86.0	0.0	0.7478261	-6.869871	39.049976	22.937855	-297.50043	2.536522	1.0659416	5.3	0.0	33.226086	-7.450581e-09	82.18605	0.0	0.073300004	0.073300004	1167.6950423717499
4	99.0	0.0	0.75	-4.664877	27.640156	20.933405	-306.12488	2.4992423	0.9610991	4.6	0.0	23.454546	2.7939677e-09	73.96372	0.0	0.08334999	0.08334999	1463.6189827919006
5	92.0	0.0	0.6571429	-3.084191	24.17675	19.204893	-272.8314	2.2592857	1.0107208	4.3	0.0	24.292856	-2.2351742e-08	89.10707	0.0	0.079325005	0.079325005	1760.1243524551392
6	143.0	0.0	0.70098037	-1.648921	8.111806	23.35315	-14.416086	2.3750002	1.0330862	5.1	0.0	16.37745	-1.44355e-08	84.48633	0.0	0.12175	0.12175	2048.4119844436646
7	147.0	0.0	0.7860963	-4.37992	21.446444	20.819845	-278.63766	2.5438504	0.93631554	5.1	0.0	21.352942	-1.6763806e-08	71.09599	0.0	0.118925005	0.118925005	2335.4935948848724
8	134.0	0.0	0.72043014	-3.1758258	21.72576	20.822393	-278.0001	2.4473119	1.0886108	4.6	0.0	21.467741	-1.4901161e-08	78.49007	0.0	0.113800004	0.113800004	2620.116268634796
9	139.0	0.0	0.73157895	-2.2265573	8.286801	21.586155	-13.502811	2.4526315	1.0214378	4.6	0.0	16.605263	-1.0244548e-08	75.76805	0.0	0.117125	0.117125	2901.407375097275
10	120.0	0.0	0.72289157	-3.5777206	23.684595	20.897694	-289.19437	2.4771085	1.0485015	4.6	0.0	22.325302	-2.7939677e-09	78.87622	0.0	0.10405	0.10405	3181.8767783641815
11	148.0	0.0	0.7047619	-1.7860261	7.7512603	20.5962	-12.229673	2.4019048	1.0516636	4.8	0.0	16.261906	-8.381903e-09	79.59006	0.0	0.12735	0.12735	3460.2325241565704
12	138.0	0.0	0.7379679	-1.9605811	8.0434885	22.177063	-13.679321	2.4941175	1.0417578	4.4	0.0	16.636364	-1.4901161e-08	80.161545	0.0	0.11735	0.11735	3743.1104714870453
13	83.0	0.0	0.66935486	-5.8998437	37.879017	19.926968	-305.87198	2.3411286	1.1162301	5.0	0.0	32.201614	1.4901161e-08	79.715645	0.0	0.072575	0.072575	4026.5355174541473
14	158.0	0.0	0.7117117	-1.9211767	8.14267	23.218664	-18.376896	2.3545043	1.0925432	4.9	0.0	16.94144	-2.6077032e-08	108.1119	0.0	0.13155	0.13155	4303.314553260803
15	133.0	0.0	0.7112299	-2.3750503	7.982085	20.43125	-26.74157	2.4208558	1.128836	4.8	0.0	16.438503	-2.2351742e-08	110.72885	0.0	0.113800004	0.113800004	4584.707960128784
16	113.0	0.0	0.66863906	-3.173911	23.900658	21.206259	-291.25775	2.4011836	1.0979264	4.9	0.0	22.988165	-1.4901161e-08	86.88037	0.0	0.102074996	0.102074996	4872.249646902084
17	126.0	0.0	0.7078652	-3.0306594	21.210182	19.137594	-264.1802	2.4129214	1.1142093	5.1	0.0	22.38764	-3.7252903e-09	71.75752	0.0	0.107374996	0.107374996	5152.4871780872345
18	61.0	0.0	0.6039604	-5.213609	42.42356	17.911152	-308.82095	2.2990098	1.0650612	4.6	0.2	36.574257	7.450581e-09	80.93022	0.0	0.058424994	0.058424994	5437.358148097992
19	100.0	0.0	0.729927	-3.7110693	25.416998	21.374128	-283.429	2.3985403	0.9502966	4.4	0.0	23.379562	-7.450581e-09	72.440865	0.0	0.08264999	0.08264999	5727.175339221954
