Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
1	0.5555556	-0.07648041	-0.04993586	2.32115	-1.4645935	11.047568	22.96341	-20.866484	4.38796	1.3335838	8.264612	1.2370731	18.961111	4000.0	391.3349618911743
2	0.24444444	3.6932669	3.0946589	2.171061	14.725534	12.028252	29.129292	-85.82376	2.2640586	1.0574359	5.460411	0.9137004	25.333334	8000.0	759.184157371521
3	0.25490198	7.925508	6.8937016	3.092878	14.886763	9.425107	30.867458	-3.6773438	2.3328824	1.1574289	5.8649993	0.8963945	19.62745	12000.0	1120.183364868164
4	0.1657754	10.409009	9.252245	3.314064	17.07151	8.585738	28.924303	-3.8317447	2.4650805	1.3276907	6.20043	0.6675135	21.491978	16000.0	1487.8292558193207
5	0.19786096	11.503293	10.244504	3.0067937	15.804808	8.468058	29.01737	-3.3170443	2.4031157	1.3095138	6.29499	0.6590388	21.40107	20000.0	1851.5588784217834
6	0.13259669	11.932859	10.573592	2.6423936	16.386288	7.669587	28.752745	-2.6530733	2.2722898	1.1619743	5.585096	0.6677384	22.044199	24000.0	2219.5874247550964
7	0.13829787	12.126245	10.6702385	2.4292543	16.707388	7.897555	30.297503	-4.3726954	2.2420235	1.1190375	5.4848666	0.6719423	21.196808	28000.0	2580.5615224838257
8	0.15053764	12.247227	10.726186	2.246584	16.525047	8.465526	30.66381	-6.3746223	2.3395252	1.4321806	7.7474937	0.66778916	21.537634	32000.0	2941.73242020607
9	0.13043478	12.306261	10.7784	2.1237662	17.032661	8.141673	29.063274	-6.9130964	2.4162986	1.3907263	8.345244	0.91048574	21.717392	36000.0	3304.220747947693
10	0.06043956	12.418895	10.903131	1.9921719	18.994442	6.337886	29.875257	-0.7331049	2.0531883	0.9063517	5.7481284	0.8964352	21.901098	40000.0	3665.820170402527
11	0.055555556	12.568926	11.080472	1.8823059	18.534468	6.261502	29.512667	-1.6465535	2.1394274	1.0280039	5.6732593	0.9086496	22.322222	44000.0	4023.0869195461273
12	0.021978023	12.708613	11.238435	1.7655416	19.092543	5.3955154	28.736002	-5.179832	2.0188136	0.9150129	6.203574	0.9101668	21.989012	48000.0	4379.997446537018
13	0.022099448	12.868291	11.431533	1.6364926	18.994894	5.1087317	28.340683	-2.5269687	1.8766826	0.8049561	5.604692	0.6785335	22.055248	52000.0	4736.224610567093
14	0.016574586	12.996918	11.590714	1.5531863	19.130074	5.212048	29.27675	-3.2918885	1.9418403	0.7784528	5.447647	0.66751266	22.132597	56000.0	5082.444319486618
15	0.016574586	13.159132	11.753884	1.467345	19.438509	4.7995934	29.31105	-3.1591246	1.8741721	0.7961447	5.7693515	0.6772384	22.060774	60000.0	5429.485921859741
16	0.0055555557	13.320732	11.915147	1.4275621	19.507364	4.3302255	29.720024	2.1978571	1.9194041	0.6860996	4.3174586	0.91620076	22.266666	64000.0	5776.759523391724
17	0.0054347827	13.453536	12.038749	1.3718889	19.850323	4.0526547	29.135935	-0.32145578	1.8669958	0.7541623	5.970319	0.6677897	21.815218	68000.0	6124.6736924648285
18	0.0054945056	13.592188	12.1686325	1.337156	19.772196	4.2916546	29.38696	-0.285645	1.7997804	0.76443475	8.447563	0.66793853	21.906593	72000.0	6473.537619113922
19	0.0	13.708237	12.274863	1.2966104	19.88088	3.7417045	27.620575	9.168647	1.9206187	0.66917557	3.5989277	0.9142529	22.144444	76000.0	6820.131132364273
20	0.0	13.824356	12.384061	1.2499055	19.757265	4.3021092	28.804031	-1.2464398	1.8316597	0.6269078	3.703876	0.9088473	21.95055	80000.0	7167.540444850922
21	0.0	13.890639	12.448958	1.2059317	20.348545	3.8449242	28.038794	7.9654555	1.9094923	0.6685696	5.229188	0.91124433	22.010988	84000.0	7514.810570716858
22	0.0	13.925785	12.486923	1.1662996	20.0535	4.166679	29.736307	-0.14664999	1.9015163	0.6342144	4.393698	0.77308905	21.724325	88000.0	7859.697480678558
23	0.0	13.962516	12.515392	1.1197188	20.005175	4.169647	30.536478	4.892871	1.9490368	0.64650434	4.368913	0.8910848	22.223463	92000.0	8208.843994379044
24	0.011049724	14.007123	12.569567	1.0381572	19.937498	4.398025	28.506306	-1.1479998	1.9714365	0.70220286	5.7013774	0.6650247	22.18232	96000.0	8557.93888425827
25	0.0	14.054195	12.613612	1.0087472	20.108055	4.3138347	29.046661	4.762001	1.9487549	0.72345823	4.662268	0.925693	21.983517	100000.0	8905.27517080307
26	0.010989011	14.070615	12.645008	0.9688331	20.246567	4.5298705	29.979422	-1.2212667	1.9044919	0.752788	5.731487	0.6672689	21.989012	104000.0	9250.531875371933
27	0.005586592	14.100297	12.683748	0.9465424	19.763062	4.2023954	28.307503	-1.5238204	1.9443651	0.71551335	5.1254163	0.89447474	22.24581	108000.0	9596.287299871445
28	0.006134969	14.151283	12.738668	0.9020236	20.440754	3.8195665	28.701365	6.699222	1.944337	0.64298606	5.3208756	0.91002905	22.006134	112000.0	9952.673000574112
