Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	137.0	0.0	0.6919192	-6.878031	8.870233	18.619703	-22.504	4.751919	1.3584056	8.78215	0.9408616	16.207071	0.008257242	0.035017524	0.0742535	-0.04546236	4000	-5.2154064e-08	157.23459	-0.014463179	-18.576408	1.607589	0.012280347	0.22825	18.0	285.75558710098267
1	148.0	0.0	0.65486723	-4.7184415	8.966935	21.755163	-24.434082	4.6410775	1.3977865	8.926442	1.1620079	17.650442	-2.4842772	0.48307383	-1.4919556	-3.4864917	8000	7.450581e-09	63.379288	-0.014700105	-2.3445625	1.5992639	0.009261355	0.06275	79.0	559.9386484622955
2	126.0	0.0	0.58064514	-2.9299383	10.314006	20.64642	-31.738106	4.5779657	1.6091217	9.241418	1.1696253	18.387096	-1.8589156	0.69398284	-0.10377081	-3.5172787	12000	-1.8626451e-08	78.11063	-0.0096096955	-4.407589	1.5787451	0.012320698	0.2255	18.0	832.0280599594116
3	123.0	0.0	0.5590909	-2.7027586	10.025187	20.769594	-21.067	4.2734613	1.5476627	8.362429	0.68169487	18.081818	-0.4747056	0.6147013	0.63801783	-2.0718231	16000	-7.450581e-09	68.5881	-0.017590553	-3.5180073	1.5433769	0.007087214	0.14750001	79.0	1104.594279050827
4	29.0	0.0	0.5471698	-2.3015697	10.4864	18.039068	-17.483774	4.1606674	1.2374293	7.433449	1.0376236	17.867924	0.5144137	0.6670035	3.7164493	-2.820423	20000	-1.4901161e-08	530.7009	-0.012355685	-178.10733	1.5340166	0.012399191	0.16925001	38.0	1397.587558746338
5	90.0	0.0	0.44554454	0.57856715	9.199283	20.082613	-17.301388	4.21635	1.4974909	8.804731	1.20269	19.633663	-4.617286	1.4421782	-1.8318787	-8.168661	24000	-7.264316e-08	116.56199	-0.013547996	-46.115616	1.485277	0.009053945	0.1175	79.0	1671.5742909908295
6	82.0	0.0	0.4	2.2764473	9.626768	21.469795	-19.759632	4.061382	1.5636945	8.3263035	0.9144867	19.434147	1.0299567	2.0124726	4.610636	-3.7693124	28000	-8.568168e-08	76.31605	-0.007950727	-8.145802	1.4716763	0.012028614	0.12775001	12.0	1939.393786430359
7	79.0	0.0	0.41578948	0.9793632	9.865505	20.468904	-21.503418	4.114576	1.5693986	8.556093	1.1981448	20.936842	2.6054883	2.4042192	6.5912375	-2.8398407	32000	-9.313226e-09	75.50922	-0.006696731	-4.021225	1.4274547	0.0136975935	0.197	12.0	2217.5072405338287
8	78.0	0.0	0.40206185	3.4437199	10.151722	26.876297	-17.519384	3.7060604	1.4765149	7.7985516	0.9444352	20.427835	2.3096936	2.14576	6.05659	-2.0675688	36000	1.1175871e-08	75.611725	-0.014427081	-4.455509	1.3488457	0.009607317	0.10275	79.0	2491.335322380066
9	67.0	0.0	0.34715027	3.58694	9.807102	25.126513	-15.985771	3.6395018	1.3692579	7.541932	1.1911311	20.637306	3.446059	2.0853364	6.649731	-1.2439824	40000	-2.9802322e-08	63.148785	-0.010897197	-3.4228	1.2809975	0.009716563	0.09325	79.0	2765.983696937561
10	65.0	0.0	0.33854166	5.669927	9.759243	25.35813	-18.351513	3.5288856	1.4009134	8.905283	0.9105576	20.78125	3.930081	2.2963932	7.909646	-0.466008	44000	1.8626451e-08	65.176926	-0.0128274	-4.991087	1.2503638	0.009577383	0.0885	79.0	3038.136908531189
11	52.0	0.0	0.2736842	7.838875	9.200395	25.35927	-14.948185	3.0307148	1.1406475	7.1612005	1.1570481	20.978947	5.397907	2.4572415	9.12494	0.5594614	48000	3.7252903e-09	55.94702	-0.012685366	-6.6146946	1.2185367	0.0074143554	0.072	79.0	3313.0603952407837
12	66.0	0.0	0.33502537	7.95005	9.477347	24.246035	-11.721042	3.0343144	1.2935717	6.985685	0.9087625	20.294416	7.321671	2.5906231	10.715535	1.887369	52000	0.0	57.56231	-0.011867344	-2.1604214	1.1856093	0.01057609	0.1225	79.0	3574.2952270507812
13	65.0	0.0	0.33505154	8.540838	10.119783	29.351126	-14.104708	3.0164533	1.2643359	6.389896	0.9240964	20.458763	7.0695724	2.4137313	10.783981	2.6804924	56000	-3.7252903e-09	59.091927	-0.011856742	-2.1943226	1.1301134	0.0068837036	0.096750006	79.0	3836.0610625743866
14	53.0	0.0	0.2819149	9.872299	9.523448	24.601158	-10.973039	3.0232077	1.218493	6.481304	0.9217603	21.095745	7.914454	2.3433452	11.669884	3.6820304	60000	-1.8626451e-09	51.202816	-0.015822036	-2.3355064	1.0988305	0.00958183	0.19525	79.0	4095.0417346954346
15	44.0	0.0	0.23529412	10.991746	9.411993	26.705061	-10.5043335	2.9849448	1.4235464	6.9928465	0.92224616	21.203209	8.783108	2.0715194	12.185449	4.6232533	64000	1.4901161e-08	47.87539	-0.011643536	-1.1943913	1.0780821	0.0072636986	0.0815	79.0	4351.37703037262
16	35.0	0.0	0.19337016	12.832654	8.409297	25.787674	-8.073327	2.9058723	1.249249	6.6999803	0.6529918	22.01105	9.128088	2.0880804	12.939813	5.4328876	68000	-1.3038516e-08	39.59935	-0.0068115457	-2.6193256	1.0214227	0.012061413	0.1415	12.0	4606.491310596466
17	32.0	0.0	0.17777778	13.516309	9.016783	26.369532	-9.856069	2.6155396	1.1863942	5.948293	0.92754656	22.133333	10.510445	2.0996745	13.791364	6.513183	72000	-7.450581e-09	38.399292	-0.0116888955	-1.1436691	0.92650366	0.0059108525	0.0915	79.0	4863.651327371597
18	32.0	0.0	0.17486338	13.963016	8.563677	27.809046	-7.1412935	2.601536	1.1115515	6.128308	0.9216616	21.770493	11.098291	1.8922229	14.343704	6.90815	76000	1.0244548e-08	35.548977	-0.010203204	-0.52704144	0.8828304	0.0080560455	0.073	79.0	5114.660731077194
