Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.71681416	0.951681	1.6051795	1.1293609	1.1202503	-2.642839	-0.32980826	0.88602	0.8888889	-7.05196	8.290694	15.878762	-25.549976	4.62771	1.5170279	9.967038	0.9189593	16.035398	6000	4000.0	258.05903339385986
2	0.6055046	0.8611654	1.59524	1.8223312	1.8224331	-3.2107852	-0.98845166	0.724458	0.7227257	-11.422882	47.66542	19.929657	-302.82333	4.342349	1.5062463	8.405957	0.5	45.57798	7000	8000.0	437.6161434650421
3	0.71794873	0.77930343	1.5814263	2.4459069	2.4457822	-3.705655	-1.643693	0.698458	0.6964817	-7.987727	32.421154	18.004496	-294.7557	4.475354	1.2741987	7.757394	1.0	30.410257	8000	12000.0	616.5120761394501
4	0.6123595	0.70531607	1.5503328	2.9927456	2.992817	-4.1435165	-2.2891386	0.69644266	0.69588673	-1.784668	23.004547	20.357649	-281.2097	4.7350364	1.5094492	9.658252	0.9406186	24.921349	9000	16000.0	794.0574944019318
5	0.5329949	0.63850427	1.5016291	3.503016	3.5031064	-4.5613685	-2.9189866	0.74876916	0.7489562	1.8480942	9.599981	21.937944	-14.353323	4.5529456	1.4333249	8.753755	0.91696906	20.258883	10000	20000.0	968.6242921352386
6	0.4450262	0.578182	1.4327645	3.972679	3.9730546	-4.955606	-3.5263617	0.8102849	0.8111888	5.2508965	8.937237	21.746906	-13.623593	4.316372	1.4636467	7.927085	1.1737516	21.047121	11000	24000.0	1143.7829866409302
7	0.43654823	0.52366406	1.3642136	4.4314246	4.4319296	-5.346415	-4.119134	0.8650234	0.8649491	7.3178835	9.397661	25.055222	-11.985439	3.9167016	1.4559019	7.858597	0.92995167	20.360407	12000	28000.0	1314.3380777835846
8	0.35051546	0.47432157	1.2972783	4.8478856	4.848203	-5.704928	-4.699167	0.9406494	0.9402977	9.496449	9.133116	24.881855	-8.927769	3.6480794	1.2701753	6.963791	1.5441418	20.453608	13000	32000.0	1484.6555259227753
9	0.27513227	0.42962846	1.2300786	5.2574306	5.2573576	-6.0640955	-5.265545	0.9854008	0.9857348	11.427972	8.640641	25.264374	-11.850458	3.5610251	1.3115914	7.6251354	0.91090876	21.195766	14000	36000.0	1654.9353454113007
10	0.3025641	0.38913855	1.1752588	5.6463327	5.6460977	-6.4023614	-5.830668	1.0340514	1.0350226	11.133129	8.66649	26.111183	-6.3684206	3.2987912	1.305407	7.2497582	0.9275815	20.492308	15000	40000.0	1823.4745047092438
11	0.2979798	0.3524266	1.1174663	5.998425	5.9986377	-6.7068996	-6.382018	1.0816836	1.0837393	11.845733	8.827717	28.273699	-6.1618505	3.2598991	1.332117	7.3228397	1.1699812	20.363636	16000	44000.0	1990.843326807022
12	0.28645834	0.31919134	1.0663298	6.3343472	6.3342547	-6.9944267	-6.9297924	1.1429063	1.1464443	12.331197	8.714013	26.775633	-4.947288	3.2267494	1.3260678	6.6932726	1.174335	20.6875	17000	48000.0	2158.7928137779236
13	0.1827957	0.28904834	1.0225809	6.6127343	6.612769	-7.226161	-7.4771266	1.1668555	1.1709539	14.751601	7.8737864	31.023352	-5.288756	2.932487	1.2926886	6.4870896	0.92897165	21.532259	18000	52000.0	2325.82138133049
14	0.23834197	0.26174134	0.9838692	6.8697424	6.86951	-7.440498	-8.02313	1.1964139	1.2007586	14.058993	8.705517	29.394188	-5.9623027	2.9744523	1.2510996	6.7971783	0.9650808	20.787565	19000	56000.0	2493.7908594608307
15	0.26903552	0.23699526	0.9397075	7.1031647	7.1029353	-7.632458	-8.553679	1.2402984	1.2468278	13.113397	8.995849	30.749435	-8.320611	2.8999717	1.3373449	6.920433	0.9095265	20.289341	20000	60000.0	2661.451017141342
16	0.24479167	0.21459971	0.89429545	7.3082967	7.3080354	-7.8010306	-9.0732765	1.2286581	1.23599	14.067241	8.514612	30.204193	-6.398241	2.873624	1.3109888	6.8251686	0.9205073	20.755209	21000	64000.0	2829.1266956329346
17	0.24226804	0.19433092	0.8452945	7.5067587	7.506588	-7.963157	-9.577743	1.2567964	1.2630843	13.879351	8.307248	26.523806	-5.8062253	2.7283332	1.2795482	5.8824096	0.90531594	20.726805	22000	68000.0	2996.476474761963
18	0.21465969	0.17597665	0.8049762	7.681225	7.6810207	-8.112402	-10.087799	1.2725003	1.2779411	15.220211	8.463358	29.219517	-3.961209	2.5993707	1.2212075	5.8176436	0.9381791	20.884817	23000	72000.0	3161.7037625312805
19	0.24615385	0.15935016	0.7577912	7.841764	7.8412557	-8.240176	-10.577222	1.2753854	1.282152	14.712405	8.7592745	28.083862	-4.340473	2.694565	1.3054204	6.5414605	0.9219435	20.564102	24000	76000.0	3327.2859678268433
20	0.20526315	0.14430402	0.7061509	8.014907	8.014542	-8.397556	-11.048205	1.282557	1.2916136	15.883187	8.391932	28.916862	-2.2636902	2.5981803	1.2270519	6.1358113	0.94689083	21.078947	25000	80000.0	3493.666635274887
21	0.20526315	0.13068841	0.6522393	8.207492	8.206603	-8.563911	-11.503974	1.2838681	1.2944719	15.467607	8.111433	27.664167	-3.5759454	2.3717694	1.207403	7.007248	0.91289353	20.757895	25000	84000.0	3659.6991670131683
22	0.1368421	0.1183525	0.6105415	8.420569	8.420635	-8.739349	-11.975292	1.280672	1.2907856	16.052195	7.5108194	29.256964	-4.25976	2.348125	1.1395707	6.23985	0.8963799	21.257895	25000	88000.0	3824.557683467865
23	0.14893617	0.107171245	0.57435524	8.658663	8.658211	-8.950132	-12.45131	1.2970531	1.3091366	16.604263	7.830638	29.47127	-2.4321587	2.3928592	1.1334918	6.0965853	0.8997868	21.367022	25000	92000.0	3990.8941366672516
24	0.16842106	0.097052865	0.5173406	8.8788395	8.877967	-9.14483	-12.871189	1.3103594	1.3216965	15.60613	7.5594425	28.156197	-0.89880913	2.3280146	1.1656922	6.254906	0.9185419	21.021053	25000	96000.0	4157.357751131058
25	0.123655915	0.08788603	0.48398542	9.131406	9.131046	-9.372367	-13.337427	1.309788	1.3184671	17.121952	7.3680334	30.047485	-3.9878323	2.1501338	1.235255	7.780248	0.6669736	21.419355	25000	100000.0	4323.108774423599
26	0.11827957	0.0795757	0.45476207	9.421801	9.421317	-9.633642	-13.808271	1.2960746	1.3015809	16.706797	7.405478	30.908154	-2.2953994	2.1900811	1.0477065	5.77843	0.899095	21.580645	25000	104000.0	4488.890659570694
27	0.10638298	0.07204271	0.43350306	9.661693	9.660979	-9.8550205	-14.295017	1.3158196	1.3191139	16.687975	7.1700954	30.791105	-4.1709094	2.1333477	1.1232941	6.659223	0.66563267	21.127659	25000	108000.0	4656.066618919373
28	0.09139785	0.06521061	0.4199576	9.934865	9.934586	-10.106336	-14.79934	1.2924497	1.2952341	17.445127	6.4990196	28.720732	-2.273701	2.051104	1.0064013	6.16986	0.91935116	21.612904	25000	112000.0	4822.998255729675
29	0.097826086	0.059026394	0.39803535	10.214164	10.215283	-10.3619795	-15.277342	1.262323	1.2648339	17.670534	6.742888	28.970669	-3.798663	2.068158	1.1378232	7.115427	0.66779524	21.782608	25000	116000.0	4990.3290894031525
30	0.06629834	0.05342855	0.38007653	10.476264	10.475359	-10.595846	-15.762562	1.1885653	1.185803	18.253702	5.880249	31.642612	-2.7315078	1.9912592	0.864037	6.8376	0.6798096	21.944752	25000	120000.0	5159.597273349762
31	0.08743169	0.04837307	0.3124717	10.693887	10.69389	-10.803268	-16.0919	1.1230161	1.117464	18.485212	6.5709734	27.74312	-5.6827884	2.022941	1.0282581	6.721249	0.9101174	21.967213	25000	124000.0	5329.731540679932
32	0.055555556	0.043814298	0.26831654	10.9042225	10.90414	-11.002717	-16.480219	1.0496777	1.0414345	19.183126	5.617432	26.47401	-3.2714505	1.8821279	0.89354366	6.1046524	0.9038508	22.15	25000	128000.0	5500.86715221405
33	0.017045455	0.039669264	0.2557876	11.133879	11.13467	-11.21882	-16.963408	0.99587846	0.9881239	19.770027	4.5502996	29.420822	-1.8178464	1.8995281	0.70649046	4.762084	0.89914393	22.789772	25000	132000.0	5673.484975337982
34	0.056818184	0.03591068	0.23145609	11.331788	11.333236	-11.412419	-17.405611	0.9086496	0.9035099	18.878649	5.821807	26.855885	-5.079058	1.949368	0.9358363	5.8563333	0.9202793	22.613636	25000	136000.0	5846.846412181854
35	0.039325844	0.032505248	0.22141819	11.540238	11.539566	-11.612789	-17.892452	0.8780672	0.87228614	19.059517	5.2135916	27.593796	-3.160569	1.8770728	0.78864956	5.1977224	0.90581733	22.533709	25000	140000.0	6020.379820585251
36	0.028409092	0.02941987	0.21070501	11.743963	11.744258	-11.813159	-18.375484	0.84922534	0.842198	19.198187	4.8621974	29.382677	-4.605027	1.8091229	0.71709645	4.9885454	0.6702615	22.744318	25000	144000.0	6193.246689319611
37	0.011494253	0.026626347	0.19925094	11.928033	11.927455	-11.990585	-18.853842	0.7816185	0.77682126	20.219385	3.8519437	28.242395	1.5378222	1.8016168	0.59840906	4.3868327	0.9114129	22.994253	25000	148000.0	6367.171902656555
38	0.028409092	0.024096442	0.19578522	12.100064	12.100999	-12.156644	-19.359964	0.7396891	0.7339147	19.55725	4.8250957	29.546682	-2.492334	1.8665811	0.7884047	5.9889107	0.6762216	22.727272	25000	152000.0	6539.355366945267
39	0.011560693	0.021806758	0.18544184	12.266352	12.267323	-12.313414	-19.839148	0.7031045	0.6962246	19.806265	4.167342	28.683382	-1.5816212	1.7856733	0.72272074	5.346074	0.66774166	23.040462	25000	156000.0	6712.212757825851
40	0.017142856	0.019734656	0.18060967	12.428856	12.429602	-12.469398	-20.337994	0.6552179	0.64509207	19.781775	4.268936	27.629208	-2.0264053	1.8495232	0.72958547	5.0491457	0.90878946	22.92	25000	160000.0	6885.6194632053375
41	0.017142856	0.017859032	0.17169052	12.565422	12.565853	-12.59649	-20.81941	0.64609075	0.63439184	20.127653	4.2905626	29.471697	-3.2013948	1.8129826	0.6662872	4.941716	0.9115607	22.982857	25000	164000.0	7060.147651433945
42	0.017142856	0.016161697	0.16652639	12.713948	12.713247	-12.734509	-21.314554	0.60309315	0.58980703	20.532564	4.3558	30.291573	-2.9365718	1.7227703	0.7097843	6.2421684	0.91077876	22.731428	25000	168000.0	7234.013002872467
