Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
0	1.05	0.0	160.0	0.0	0.6896552	-6.5027704	9.15622	16.555197	-22.504	4.6600466	1.3250703	9.53257	0.6472125	16.512932	0.017955417	0.030631885	0.07386738	-0.04546236	4000	2.9802322e-08	75.28215	12.457449	-0.011301399	-14.399413	-11.016909	1.6073799	0.01218149	0.21275	6.0	206.8023157119751
1	1.1000589	0.0	157.0	0.0	0.7072072	-6.2442217	8.8753	17.295242	-25.715332	4.9727817	1.5366172	9.755015	1.3921416	17.5	-2.2019997	2.7768362	3.4860945	-7.574792	8000	1.8626451e-09	56.019844	1.9283744	-0.010839294	-2.2173157	-0.1364342	1.5991882	0.014070703	0.2415	7.0	401.57844376564026
2	1.1499182	0.0	131.0	0.0	0.60091746	-3.5908809	9.596393	18.282467	-24.159239	4.44789	1.3809237	9.625998	1.1491389	18.261467	-1.9089438	3.2554488	5.8910427	-12.856453	12000	-5.5879354e-09	57.973244	1.748097	-0.010383731	-6.1274385	-0.19999784	1.5747683	0.014253207	0.13825001	6.0	601.8201098442078
3	1.1996117	0.0	88.0	0.0	0.5116279	-1.9579022	9.92606	19.77155	-22.948992	4.3171034	1.5700924	8.613551	0.9362723	19.33721	1.5147061	4.6586976	11.08811	-13.4325075	16000	0.0	127.71506	1.7165301	-0.012155579	-45.664215	-0.07466005	1.5429095	0.012926087	0.22625	20.0	803.3053042888641
4	1.2492114	0.0	80.0	0.0	0.46783626	-1.3455979	9.323803	18.25181	-20.737017	4.3067465	1.4462941	8.576006	1.4395787	19.508772	-0.67662716	3.0863457	5.9467425	-10.958971	20000	-1.4901161e-08	105.88733	1.3171482	-0.005814351	-9.91053	-0.040692165	1.5007831	0.012458254	0.124749996	11.0	1008.7258970737457
5	1.2984558	0.0	86.0	0.0	0.4526316	0.0016687092	9.53428	24.932148	-20.562246	3.886567	1.5900667	8.881219	0.56086344	18.557896	-0.4327097	5.522009	9.52353	-14.26905	24000	-2.2351742e-08	97.545204	1.7233692	-0.01356641	-6.321781	-0.082710326	1.4689701	0.008046502	0.13175	79.0	1210.5410454273224
6	1.3474705	0.0	97.0	0.0	0.45754716	1.1016316	9.672328	20.789423	-18.459854	3.8925436	1.501685	9.610788	0.92125845	18.712265	1.1521043	3.767404	9.324558	-12.236963	28000	-7.450581e-09	70.23319	1.6186221	-0.013749538	-28.149567	-0.038322046	1.4034472	0.01218392	0.176	33.0	1406.6398541927338
7	1.3960987	0.0	92.0	0.0	0.427907	1.6551023	10.159851	22.248533	-19.77998	3.6140149	1.330804	6.8821154	0.8982444	18.404652	4.120434	3.8568304	10.586727	-8.603459	32000	3.7252903e-09	51.138092	1.2863885	-0.017418321	-3.388115	-0.0713788	1.3529649	0.0100202635	0.17	79.0	1602.599979877472
8	1.4441532	0.0	63.0	0.0	0.31658292	4.7797813	9.872661	23.879946	-18.257668	3.2947047	1.4257597	8.455915	0.92140204	19.909548	5.1078196	3.3648238	11.23912	-7.367965	36000	-4.656613e-09	48.32794	1.3693447	-0.018048204	-3.3080711	-0.096591085	1.3000869	0.008270869	0.17225	79.0	1803.3415880203247
9	1.49196	0.0	88.0	0.0	0.42105263	5.1669116	10.623284	22.971193	-18.841488	3.496294	1.4781854	8.470396	0.89756024	19.0	6.4199085	2.6656604	13.352967	-2.9908895	40000	-1.1175871e-08	52.763058	1.3732765	-0.0139990095	-2.090454	-0.054992467	1.2748373	0.01216122	0.16100001	24.0	2004.5875742435455
10	1.5393757	0.0	59.0	0.0	0.30890054	7.931843	9.752893	23.290966	-14.935425	3.273849	1.4124742	7.7871175	1.1555506	20.596859	6.793001	3.0154393	14.7536955	-2.95386	44000	9.313226e-09	46.8604	1.0988487	-0.017189959	-5.073348	-0.074495375	1.1924361	0.011199952	0.1265	79.0	2213.8479413986206
11	1.5861435	0.0	47.0	0.0	0.2460733	10.696172	8.989558	25.640406	-12.781553	2.934415	1.2707214	7.652361	0.9222309	20.685863	8.2450485	3.1130521	17.47046	-4.278715	48000	-1.6763806e-08	40.874153	0.9474444	-0.01606272	-7.299383	-0.08967893	1.1406993	0.007480216	0.121999994	79.0	2420.813460588455
12	1.6322762	0.0	52.0	0.0	0.2722513	11.626303	9.527114	28.97713	-8.885621	2.8301337	1.1993593	5.894952	0.9094829	20.753927	9.804566	2.6766608	14.498248	-2.1899886	52000	1.8626451e-09	40.408913	0.8185977	-0.016077116	-3.3473177	-0.016067713	1.0689818	0.009697057	0.15650001	79.0	2605.7553215026855
13	1.677813	0.0	49.0	0.0	0.2606383	12.191334	9.625221	28.55899	-14.916037	2.759965	1.2206734	6.48636	0.90317386	21.015957	10.4158945	2.458161	15.8664875	-1.5421569	56000	3.7252903e-09	36.4604	0.7931485	-0.008148663	-5.0648165	-0.041961133	1.0096607	0.012367415	0.142	11.0	2789.8324007987976
14	1.7226915	0.0	42.0	0.0	0.22826087	13.559622	9.074259	27.042215	-11.18463	2.6117158	1.1532444	6.217574	0.922113	21.576086	10.59724	3.6161067	17.398106	-3.47099	60000	3.7252903e-09	32.07453	0.7663026	-0.010988744	-4.05472	-0.027968109	0.9281394	0.0064393384	0.0735	79.0	2975.4395875930786
15	1.7670919	0.0	43.0	0.0	0.23243243	13.647034	9.235819	27.210606	-6.836726	2.6720426	1.1312468	5.9427276	0.9024763	21.297297	10.837006	3.3731422	17.09571	-0.34015796	64000	-1.8626451e-09	29.266731	0.6346185	-0.003714833	-3.475368	-0.019530311	0.9046649	0.015423619	0.163	4.0	3156.7629833221436
16	1.8108286	0.0	44.0	0.0	0.23529412	14.152244	9.498602	29.29612	-10.354885	2.4451747	1.059409	5.716684	0.67978096	21.128342	11.385779	3.7962472	18.553839	-1.980598	68000	7.450581e-09	30.586296	0.63675433	-0.013554784	-3.5660791	-0.048251256	0.82789373	0.012054831	0.110249996	49.0	3337.6979677677155
17	1.8541108	0.0	49.0	0.0	0.2565445	14.9328985	9.4504175	28.918274	-7.5518527	2.5323055	1.102378	5.9834228	0.8989493	20.659685	11.914526	3.6921012	18.600925	-4.572604	72000	-2.7939677e-09	26.511927	0.6322156	-0.010921088	-3.7761526	-0.033632196	0.7628938	0.008099217	0.07425	79.0	3524.581932783127
18	1.8968835	0.0	40.0	0.0	0.21621622	15.974024	9.013358	29.1091	-5.210892	2.4252617	1.0489558	5.2899327	0.9117746	21.35135	11.734157	4.393047	19.129051	-2.8856177	76000	-3.7252903e-09	22.265732	0.5373888	-0.009465295	-3.6014786	-0.018435225	0.73896265	0.0066241855	0.11925	79.0	3713.1757209300995
19	1.9390134	0.0	33.0	0.0	0.17934783	17.04483	8.500025	29.508957	-4.054606	2.2564878	0.93145263	4.8248825	0.66757846	21.625	12.894801	4.336402	19.59207	-1.9659927	80000	-9.313226e-09	19.793606	0.479766	-0.012382599	-3.1472812	-0.034215696	0.71082175	0.00718529	0.213	79.0	3897.6583926677704
20	1.9806072	0.0	34.0	0.0	0.18681319	17.58809	8.510333	30.695534	-3.9407377	2.2666945	0.97991294	5.3449426	0.6675154	21.65934	12.906261	4.265155	20.683987	-4.171108	84000	-7.450581e-09	19.306324	0.4588043	-0.007430996	-1.7363687	-0.010294326	0.66573286	0.005882353	0.05775	79.0	4090.8451290130615
21	2.0216916	0.0	38.0	0.0	0.2054054	16.601744	8.659225	27.784729	-6.286347	2.2260244	1.049093	4.948208	0.90017974	21.335135	13.575566	4.329428	20.616308	-5.1088014	88000	1.21071935e-08	20.218182	0.49383956	-0.007948311	-3.297656	-0.009419635	0.61918426	0.0037757568	0.060000002	79.0	4276.882610321045
22	2.0624433	0.0	45.0	0.0	0.23809524	16.153847	8.949569	27.883503	-3.3793945	2.302308	0.9821019	4.7863083	0.9103144	20.899471	12.3426695	4.8571296	20.29279	-4.7887726	92000	-3.7252903e-09	19.556198	0.46023658	-0.008920765	-3.0591257	-0.010953404	0.6118567	0.0069485335	0.13525	79.0	4461.877270460129
23	2.1029298	0.0	41.0	0.0	0.2204301	16.777174	8.938262	28.959572	-2.5102613	2.311328	0.9631953	4.9950747	0.6675565	21.306452	13.110248	4.5195723	19.952375	-5.2660394	96000	-9.313226e-10	23.308357	0.49100733	-0.011512469	-5.732376	-0.05609206	0.5672679	0.011740921	0.085	79.0	4648.023833036423
24	2.143075	0.0	39.0	0.0	0.20855615	17.502846	9.035214	28.417303	-5.568678	2.2194211	1.0681074	5.164747	0.66379017	21.19786	13.054805	4.6018224	20.443876	-5.0490017	100000	-7.450581e-09	22.111397	0.52090794	-0.007984413	-5.3351545	-0.13762195	0.55993205	0.0023520575	0.0535	79.0	4829.9874901771545
25	2.1830127	0.0	41.0	0.0	0.21693122	17.085728	9.317582	30.72078	-4.6158733	2.2775016	1.0519885	6.711736	0.66762316	20.973545	13.188254	5.0464406	21.771856	-5.4490814	104000	-7.450581e-09	21.486301	0.42859948	-0.007062775	-2.618119	-0.102016754	0.5179735	0.0053416984	0.08325	79.0	5014.9567527771
26	2.2227561	0.0	41.0	0.0	0.21465969	17.30873	9.012024	27.976658	-7.104945	2.25781	0.9642496	4.7354603	0.66770434	20.680628	12.978737	4.935963	20.509523	-4.2156606	108000	3.7252903e-09	21.039467	0.30542117	-0.009566931	-3.3488512	-0.050042722	0.51474273	0.008669866	0.05375	79.0	5202.96684217453
27	2.2623284	0.0	46.0	0.0	0.24210526	16.731266	9.767657	31.532045	-9.752684	2.2469378	0.9425281	4.9914384	0.6664234	20.805264	13.422602	4.893987	20.562317	-4.7502456	112000	5.5879354e-09	19.336472	0.27692467	-0.010178246	-2.8636181	-0.041497216	0.50675344	0.009546205	0.06025	79.0	5384.625830888748
28	2.3018427	0.0	42.0	0.0	0.22340426	17.18159	8.915792	28.991537	-4.993661	2.3027549	0.9678163	5.342749	0.9015228	21.042553	13.1381645	5.0866246	21.51247	-4.8948774	116000	0.0	18.602482	0.2816341	-0.0072463136	-2.5062675	-0.027863462	0.50647736	0.0062314295	0.046	79.0	5576.461283683777
29	2.3411622	0.0	32.0	0.0	0.17391305	18.257147	8.485497	28.402596	-6.035109	2.189909	0.903945	5.3151183	0.90989155	21.565218	13.496903	4.562522	21.346514	-4.415047	120000	-3.7252903e-09	21.26759	0.30436975	-0.008199227	-3.96149	-0.0396687	0.4879662	0.00657664	0.04225	79.0	5762.334420681
30	2.3803747	0.0	41.0	0.0	0.21925133	17.436892	9.262015	30.087461	-5.8025393	2.2253017	0.96801203	5.970772	0.9112141	21.101604	13.283026	4.4684176	21.52409	-5.934852	124000	1.1175871e-08	22.316633	0.2831461	-0.008352488	-2.3670363	-0.033882428	0.48215806	0.0056663407	0.0445	79.0	5951.909866809845
31	2.4196718	0.0	39.0	0.0	0.20967741	17.752731	9.019227	29.53956	-3.8843772	2.3400948	0.9876995	5.9455423	0.6677386	21.306452	13.380262	4.72182	21.549187	-5.141498	128000	5.5879354e-09	17.833113	0.31697303	-0.0069525153	-2.8837736	-0.042390097	0.47126117	0.0046117418	0.052500002	79.0	6137.5423583984375
32	2.4590378	0.0	44.0	0.0	0.23404256	17.202927	9.430415	28.672428	-5.2003407	2.324183	1.0112768	4.9638305	0.90855896	21.111702	13.234797	5.070006	22.182467	-5.854836	132000	7.450581e-09	17.057018	0.28971797	-0.00782368	-3.0065668	-0.06364663	0.4436692	0.006954006	0.039	79.0	6322.638708353043
33	2.4983172	0.0	34.0	0.0	0.1878453	17.629436	8.70081	29.519054	-4.2721066	2.2120938	0.97221935	4.885943	0.9099113	21.911602	13.364347	5.140027	21.739052	-6.2464137	136000	-3.7252903e-09	17.728508	0.2633931	-0.004952726	-3.6330478	-0.027959332	0.45561975	0.005725068	0.03125	79.0	6516.390931844711
34	2.537439	0.0	28.0	0.0	0.15642458	18.852589	8.2698765	30.503195	-4.8198338	2.1477325	0.8755969	5.701422	0.9133462	22.072626	13.620559	4.442393	23.560436	-5.440251	140000	-9.313226e-09	18.081726	0.25033975	-0.007212084	-4.2242975	-0.038502775	0.43918464	0.007226474	0.10125	79.0	6699.457496166229
35	2.5765066	0.0	31.0	0.0	0.16847827	18.502539	8.374984	31.046602	-4.298178	2.1959198	0.9141571	4.7352033	0.90869886	21.60326	13.994808	4.5151577	21.867592	-4.3395123	144000	-3.7252903e-09	16.151028	0.23038147	-0.006791482	-4.190431	-0.03695675	0.42604077	0.0044247713	0.037	79.0	6886.348820209503
36	2.6154327	0.0	24.0	0.0	0.13259669	19.62567	7.893731	28.417456	-2.3283184	2.1246827	0.8122968	4.0994673	0.9115902	21.767956	13.940219	4.673938	22.872795	-7.369845	148000	5.5879354e-09	17.84777	0.22086318	-0.007899305	-4.774477	-0.045488093	0.43200707	0.004721382	0.1125	79.0	7072.892692327499
37	2.654432	0.0	44.0	0.0	0.23529412	17.662016	9.283779	29.061453	-3.3103034	2.2470126	0.99777156	5.4892545	0.9105022	21.101604	14.3479	4.632223	22.371286	-5.848764	152000	-2.6077032e-08	21.610607	0.30542827	-0.0068465983	-7.007603	-0.09536651	0.4285888	0.005001866	0.054750003	79.0	7266.450941801071
38	2.6932168	0.0	30.0	0.0	0.16393442	18.6091	8.489009	30.689157	-2.2590842	2.0548322	0.88828003	5.050473	0.6667406	21.677595	13.379856	5.143102	21.827969	-6.9319043	156000	7.450581e-09	16.260592	0.20365441	-0.0066441586	-4.6744127	-0.05876109	0.44050854	0.0048200563	0.18375	79.0	7451.68381023407
39	2.7320254	0.0	37.0	0.0	0.19786096	17.994846	9.100492	27.839785	-3.7522411	2.185565	1.0064855	5.2400556	0.9132222	21.112299	13.804398	5.0025496	22.027388	-5.238443	160000	0.0	17.23977	0.25381082	-0.008356948	-3.0677507	-0.060711373	0.4196033	0.0065994994	0.0545	79.0	7640.765462636948
40	2.7709787	0.0	49.0	0.0	0.25520834	17.055351	9.653437	30.542667	-4.9947786	2.2563934	0.9819805	5.1245165	0.9084644	20.619791	13.02792	5.498443	21.559155	-5.958106	164000	1.1175871e-08	17.275957	0.24112469	-0.0077636107	-3.3442197	-0.044339657	0.418576	0.0059594135	0.1055	79.0	7826.50198340416
41	2.809883	0.0	39.0	0.0	0.20634921	18.372013	8.868057	29.804976	-3.3039412	2.1329927	0.9593208	4.8840785	0.9256047	20.89418	13.595506	5.26619	21.80943	-6.0534625	168000	-7.450581e-09	19.005428	0.23802501	-0.0068180533	-4.633053	-0.02959634	0.39237043	0.009244785	0.041	79.0	8016.730838775635
