Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0530407	0.6763285	0.95167625	1.6070774	1.089762	1.0990117	0.04411316	-2.556143	-0.32997456	0.592495	0.5870748	0.03764403	-1.3158842	8.232722	21.609243	-16.094652	4.4737124	1.3218596	8.928035	1.5595433	16.178743	6000	4000.0	374.8838720321655
2	1.1666607	0.7150259	0.8611343	1.602249	1.162176	1.162091	0.06097378	-2.457746	-0.98976403	0.5427126	0.5418545	0.03758201	-2.7948074	22.09149	22.726816	-287.08246	4.5507264	1.35218	8.170171	1.1944808	21.709845	7000	8000.0	641.8396308422089
3	1.2811606	0.6433566	0.7792272	1.5971305	1.0953022	1.0950655	0.07268169	-2.2354484	-1.6483679	0.5627811	0.56208974	0.03629125	-3.157793	34.416626	24.12395	-283.759	4.460356	1.2948459	8.169925	0.5	30.93007	8000	12000.0	909.968097448349
4	1.3946137	0.63596493	0.70513237	1.5877683	1.0537915	1.0536959	0.08825175	-2.0430245	-2.304209	0.5935639	0.5933785	0.037518695	1.802437	9.678586	23.022694	-14.389499	4.49782	1.271363	9.96946	1.521813	17.539474	9000	16000.0	1145.6657733917236
5	1.5081582	0.64285713	0.6381219	1.5740967	1.0373299	1.037209	0.1023552	-1.8870574	-2.9558706	0.63154393	0.6323351	0.03684977	3.4535885	9.271957	21.403725	-12.6342	4.457981	1.3354412	7.355925	1.1874548	17.839285	10000	20000.0	1370.2028110027313
6	1.6202786	0.6272727	0.57750446	1.5592678	1.0462743	1.0461949	0.116811916	-1.7635672	-3.6038609	0.6938	0.69527197	0.037339363	4.2090416	9.231479	23.028948	-12.911286	4.56086	1.388046	7.820482	1.186034	18.213636	11000	24000.0	1575.2359914779663
7	1.7295902	0.60730594	0.52267015	1.5407542	1.0678915	1.0677365	0.12685478	-1.6677973	-4.246233	0.73468304	0.7364868	0.03558376	4.881939	9.382235	26.14914	-11.731479	4.5561743	1.4162945	9.631795	0.91979903	18.3379	12000	28000.0	1780.1678302288055
8	1.836976	0.6232558	0.473073	1.5143782	1.0935289	1.0933535	0.13792181	-1.5813566	-4.8785267	0.77326727	0.7756075	0.034921177	5.5357366	9.435359	23.575024	-12.005565	4.524106	1.2868221	7.7743635	1.4217241	18.372093	13000	32000.0	1988.6881566047668
9	1.942312	0.5971223	0.42821807	1.4853173	1.1151541	1.1151869	0.14437881	-1.507761	-5.502775	0.77381176	0.77609384	0.03360305	7.662199	8.572165	23.286537	-11.784422	4.4975605	1.2714099	7.6781435	1.5820161	19.014389	14000	36000.0	2210.4867804050446
10	2.0451434	0.6077348	0.38762316	1.4598016	1.1449504	1.145129	0.14897458	-1.4510111	-6.1244764	0.7747362	0.77676237	0.03219931	5.468465	27.777006	26.647911	-262.13364	4.5104475	1.4273076	7.901156	0.5	29.679558	15000	40000.0	2421.7907502651215
11	2.1474242	0.55288464	0.3509086	1.4158281	1.186145	1.1861358	0.15544803	-1.4100393	-6.7210984	0.792252	0.7936432	0.03173305	9.277417	9.175606	27.28805	-11.925819	4.4365993	1.3766162	7.2072287	0.9308926	19.317308	16000	44000.0	2625.803358078003
12	2.2494476	0.51741296	0.31772977	1.3601209	1.2375605	1.2379102	0.15981653	-1.3909234	-7.2943254	0.81998736	0.82044774	0.030454904	10.056776	8.6306	25.471844	-10.4407215	4.5960674	1.3791972	7.528013	1.089925	19.77612	17000	48000.0	2830.087548494339
13	2.350459	0.37244898	0.2877474	1.2905452	1.2894793	1.2894949	0.16318952	-1.3811859	-7.8379407	0.8330748	0.83282936	0.029943408	13.06869	8.973572	27.735949	-11.528576	4.2060776	1.4454786	8.685561	0.99905115	20.566326	18000	52000.0	3033.0835909843445
14	2.4508934	0.4568528	0.26063827	1.218414	1.3499106	1.3499491	0.16668902	-1.3851885	-8.363434	0.86926097	0.86826134	0.028909082	12.527996	8.142909	27.3349	-4.568514	4.3771887	1.5099295	7.4022207	1.1855761	20.22335	19000	56000.0	3238.527224302292
15	2.5512211	0.35714287	0.23608707	1.1483644	1.4165626	1.4163862	0.16958728	-1.3990811	-8.877205	0.8925829	0.8911479	0.028381195	14.703239	8.432369	27.735699	-10.275308	3.9137983	1.5071546	7.754438	0.94931245	20.469387	20000	60000.0	3443.5802993774414
16	2.6508477	0.39795917	0.21387295	1.0710086	1.4844593	1.4845295	0.17090353	-1.4262947	-9.365384	0.91381043	0.9125209	0.02737521	14.376538	8.170858	28.830133	-11.125687	4.123518	1.6110903	7.3389425	1.1678747	20.392857	21000	64000.0	3646.4314773082733
17	2.7500386	0.33854166	0.19378175	0.97657347	1.559321	1.5594127	0.17331398	-1.4610037	-9.809364	0.9415868	0.9402909	0.026570767	15.271831	8.133847	28.21562	-4.0531716	4.001557	1.5798032	7.974488	1.1705425	20.671875	22000	68000.0	3846.0397601127625
18	2.8490648	0.28645834	0.17560564	0.87997496	1.6161546	1.6164113	0.17340139	-1.4898465	-10.229992	0.9238524	0.9224288	0.025132928	16.622572	7.8730993	27.704473	-6.915968	3.7469518	1.6312603	8.152438	0.9154122	20.848959	23000	72000.0	4044.672000646591
19	2.9476857	0.27748692	0.1591599	0.76965034	1.6979614	1.6978607	0.17488584	-1.5441955	-10.605319	0.97453445	0.97325134	0.0242335	16.767975	7.746044	30.73522	-1.5208759	3.5759363	1.6995518	8.047855	0.8998494	21.136126	24000	76000.0	4247.702142238617
20	3.0458398	0.234375	0.14428149	0.64570755	1.7776594	1.7774404	0.1747735	-1.6138756	-10.931082	0.981458	0.9805677	0.023322236	17.184656	7.4609723	29.155853	-1.2374414	3.1349971	1.5477275	7.474441	0.67227125	20.854166	25000	80000.0	4447.959062099457
21	3.1441927	0.23809524	0.13081428	0.55339473	1.8544816	1.8544824	0.17482024	-1.675872	-11.297291	0.99569947	0.99560934	0.022694912	17.586182	7.4409475	28.06372	-1.4659314	3.209379	1.6793588	7.436706	0.92181575	20.957672	26000	84000.0	4644.013484954834
22	3.2419386	0.2460733	0.11855127	0.48254487	1.9412311	1.9417233	0.1753426	-1.7527391	-11.6927595	1.0063144	1.0061278	0.022295136	18.170355	7.9007077	29.527447	2.139027	3.1611762	1.6911058	6.940493	0.9083709	21.031414	27000	88000.0	4839.982035636902
23	3.3400161	0.18181819	0.107403286	0.43830657	2.0258782	2.025476	0.17516331	-1.8287944	-12.13561	1.0003635	0.99969923	0.021420864	18.79551	7.418405	31.613102	0.7403734	3.0132537	1.6850576	8.077153	0.9049226	21.508022	28000	92000.0	5038.767743349075
24	3.4377413	0.26595744	0.09727131	0.4066715	2.1187613	2.119004	0.17619108	-1.9029119	-12.601021	1.0058608	1.0061456	0.020865845	17.895538	7.9508104	30.378382	1.5546976	3.3204505	1.8961471	8.6439705	0.673148	21.090425	29000	96000.0	5236.361987352371
25	3.535142	0.20320855	0.088066466	0.38480413	2.2012866	2.201163	0.17559054	-1.9727163	-13.085158	0.99670833	0.9973274	0.019731745	18.606733	7.1369452	30.523985	1.5677974	2.987653	1.6706889	7.8363743	0.91431487	21.427807	30000	100000.0	5435.025506496429
26	3.633062	0.21354167	0.07972943	0.35878935	2.2863173	2.2862306	0.17654562	-2.0440288	-13.555018	0.9933589	0.99435765	0.019907871	18.56634	7.614969	31.888783	1.284953	3.003146	1.6573147	7.776353	0.91368353	21.057291	31000	104000.0	5634.224997520447
27	3.730941	0.2460733	0.07217581	0.33643872	2.3844774	2.38469	0.17777961	-2.1230707	-14.029621	1.0096962	1.0111922	0.018999966	18.209812	7.6295757	30.034233	2.1926742	2.993731	1.869705	7.4830337	0.91092676	20.858639	32000	108000.0	5833.521733283997
28	3.8289974	0.20212767	0.0653325	0.32332763	2.4670038	2.467034	0.17884757	-2.186706	-14.525515	0.98256433	0.9847214	0.018548438	18.93231	7.239696	31.090403	3.189739	3.119326	1.7760073	7.6701713	0.9098841	21.281916	33000	112000.0	6033.338742733002
29	3.9271965	0.25925925	0.05913548	0.30932152	2.5481226	2.5481043	0.18059586	-2.230882	-15.016764	0.97303206	0.9744138	0.01759491	17.699934	7.29294	29.576595	2.6423988	3.269439	1.9281261	7.8933434	0.92826676	21.174603	34000	116000.0	6232.172834634781
30	4.025947	0.24736843	0.053519372	0.29531157	2.6375182	2.6378114	0.18270646	-2.2905664	-15.505207	0.9702857	0.9717966	0.01761158	18.471914	7.842718	30.324278	1.0902388	3.1291568	1.9245563	7.301761	0.67584354	20.93158	35000	120000.0	6433.222566843033
31	4.1242023	0.21465969	0.048440665	0.28028002	2.7198453	2.719561	0.18433523	-2.3474603	-15.987679	0.96047354	0.96186835	0.01693842	19.037628	7.6697702	31.28305	2.5321164	2.9593425	1.8963159	7.90902	0.90227354	20.958115	36000	124000.0	6632.891651153564
32	4.222308	0.16129032	0.043842744	0.2685293	2.8139887	2.8135676	0.18482578	-2.4191787	-16.477541	0.9648894	0.9660989	0.016787846	19.814661	6.859699	32.56171	3.3032029	2.73069	1.804362	7.6128135	0.9193237	21.516129	37000	128000.0	6830.951817035675
33	4.320379	0.20634921	0.039683327	0.24717438	2.8883598	2.8883257	0.18579245	-2.4760115	-16.93397	0.94320136	0.94470525	0.016431479	19.288136	7.372433	31.05439	1.6565272	2.835632	1.8910129	7.7861924	0.901478	21.089947	38000	132000.0	7027.227069616318
34	4.4181767	0.1904762	0.03591324	0.24802165	2.9784462	2.9790258	0.18633707	-2.5413344	-17.46029	0.9341157	0.9349005	0.015696833	19.52792	7.181765	29.72324	2.028825	2.9158607	1.7551211	7.7920957	0.9278329	21.285715	39000	136000.0	7227.351286411285
35	4.516241	0.17204301	0.032501694	0.23865433	3.0619175	3.0611365	0.18746588	-2.5950084	-17.95225	0.9165028	0.9171236	0.015281184	19.571638	7.0294495	32.29799	2.7666552	2.6395369	1.6299561	7.6327653	0.9212395	21.274193	40000	140000.0	7427.906454086304
36	4.614204	0.2	0.029413925	0.22624815	3.1402705	3.1408026	0.18884549	-2.6430717	-18.431389	0.90001446	0.8989064	0.014997847	19.368176	7.3082404	32.49747	0.24283233	2.907438	1.9279126	8.130986	0.9148251	21.236841	41000	144000.0	7629.643031835556
37	4.7121267	0.1693989	0.026620103	0.2150477	3.2179863	3.2182724	0.18983811	-2.6987133	-18.912266	0.8831201	0.88109905	0.014848247	20.43784	6.872483	31.144217	3.0454443	2.6829753	1.7051013	7.2861214	0.667787	21.666666	42000	148000.0	7827.1653163433075
38	4.8095617	0.17553191	0.024090808	0.21447776	3.3080938	3.3085058	0.18865372	-2.7750776	-19.43093	0.8838608	0.8800985	0.014048664	20.247564	6.905504	32.254932	2.3951197	2.7033138	1.7688997	8.091004	0.9123985	21.452127	43000	152000.0	8025.377317905426
39	4.9073772	0.17741935	0.021800198	0.20720538	3.390132	3.3902397	0.19091028	-2.8243945	-19.923994	0.8745113	0.8695817	0.013781382	20.179409	7.2983627	32.97246	0.84571046	2.812979	1.7617049	7.7489266	0.6555336	21.478495	44000	156000.0	8224.905741214752
40	5.0051837	0.21925133	0.019727258	0.20431069	3.467286	3.4673798	0.19156714	-2.8825307	-20.432737	0.8423733	0.83682925	0.013728022	19.466211	7.662232	31.818216	3.2711122	2.9848144	1.8576007	7.546131	0.92557895	21.368984	45000	160000.0	8423.561608791351
41	5.102869	0.21276596	0.017851975	0.2020656	3.5543141	3.5540757	0.19229284	-2.9445307	-20.943768	0.84191334	0.83508056	0.013000368	19.606379	7.4867587	30.682116	2.3744066	2.8230124	1.8121856	7.7920623	0.90390825	21.271276	46000	164000.0	8622.35420012474
42	5.2006645	0.18421052	0.016153172	0.20486613	3.6294303	3.6299105	0.19260111	-2.9930863	-21.475504	0.8277665	0.8202353	0.013002519	19.695333	7.350792	29.975958	1.6868529	2.6343825	1.6938974	7.7518897	0.90105736	21.057896	47000	168000.0	8821.551773309708
43	5.2987227	0.24479167	0.014616268	0.20626448	3.7130752	3.7132432	0.19443826	-3.0525205	-22.001995	0.81468505	0.8048047	0.0128463665	19.130936	8.07795	30.470053	2.4514449	2.8725777	1.8920991	8.126439	0.9215774	20.828125	48000	172000.0	9022.791281461716
44	5.396171	0.16129032	0.013225649	0.19813709	3.79859	3.7987914	0.19389425	-3.117398	-22.48731	0.800166	0.79142517	0.012537489	20.198248	6.759098	30.646204	2.443624	2.6612046	1.7147045	7.7630854	0.92186296	21.370968	49000	176000.0	9225.596776485443
45	5.4936934	0.16756757	0.011967989	0.19310169	3.873358	3.8738935	0.19469729	-3.1710773	-22.984274	0.7796639	0.76842654	0.01224109	20.348495	7.3690996	32.89856	1.2527273	2.6502163	1.5812517	8.1655035	0.66778713	21.654055	50000	180000.0	9426.64890909195
46	5.5912695	0.17989418	0.010830053	0.19377291	3.9607875	3.9602602	0.194648	-3.2360985	-23.506353	0.7657627	0.7545646	0.012176819	19.575792	6.6231375	31.748669	3.8073623	2.798099	1.7758349	8.061168	0.92387486	21.375662	51000	184000.0	9626.79850935936
47	5.6889267	0.21164021	0.0097996425	0.19010328	4.032401	4.03177	0.19771835	-3.2711096	-24.008461	0.7592231	0.7465022	0.012226109	19.296518	7.3814063	30.971046	-0.630435	2.9326727	1.8678194	8.160702	0.9234397	21.21693	52000	188000.0	9826.269026994705
48	5.7865667	0.14130434	0.008867355	0.19250992	4.1056447	4.1055617	0.19568789	-3.3389244	-24.538664	0.742767	0.7312903	0.01138104	20.669209	6.719294	30.859781	2.339145	2.4005718	1.5339117	7.4706006	0.9174146	21.701086	53000	192000.0	10023.823282003403
