Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
0	1.05	0.0	101.0	0.0	0.7214286	-6.4006324	8.890743	20.475067	-17.088	4.666585	1.230178	8.0382395	1.9917544	16.357143	0.034353483	0.017942363	0.073055126	-0.08178387	4000	-4.4703484e-08	280.69836	7.4652815	-0.018307567	-187.4105	-6.720639	1.6072258	0.011773874	0.091	79.0	232.81077551841736
1	1.0997957	0.0	121.0	0.0	0.626943	-4.3916893	9.103816	19.122066	-19.2825	4.212964	1.3647846	8.20071	1.1752115	16.761658	-7.2495437	6.8879538	2.38165	-20.482807	8000	1.8626451e-09	100.717705	1.3164504	-0.0061713625	-11.993434	-0.13816199	1.5885358	0.013550469	0.23125	9.0	439.43150663375854
2	1.1496129	0.0	93.0	0.0	0.47692308	-1.2236847	9.217523	19.057898	-20.149729	4.327189	1.4262147	8.132028	1.1527988	19.620512	-3.2057884	5.3747725	4.7609477	-15.725371	12000	1.4901161e-08	125.25835	1.5115687	-0.015427592	-45.96213	-0.08698571	1.5603917	0.009291759	0.15400001	79.0	639.1447417736053
3	1.1993402	0.0	107.0	0.0	0.5144231	-1.8862152	9.2576065	20.706991	-19.630825	4.146903	1.4338856	9.199228	1.0263004	18.95673	1.3918289	2.3933718	7.2996497	-3.7475848	16000	-5.5879354e-09	60.281525	1.4295663	-0.010354232	-8.004244	-0.047847718	1.5288552	0.012999308	0.35175002	7.0	835.1604764461517
4	1.248657	0.0	88.0	0.0	0.42105263	0.93062097	9.331217	22.003042	-19.665508	3.663595	1.4111099	7.775624	0.94928116	18.923445	1.9734142	3.1807048	7.1113777	-4.7925	20000	2.7939677e-08	52.71836	1.5864031	-0.0043805037	-5.436736	-0.1825085	1.4850144	0.015982011	0.36725	5.0	1032.1391274929047
5	1.2975463	0.0	68.0	0.0	0.34517765	2.7534354	9.106304	25.560997	-17.658598	3.4647393	1.4068271	7.8504	0.91721815	19.979696	4.234778	3.197259	8.92497	-5.7106557	24000	-1.7695129e-08	46.842995	1.3998296	-0.0062914495	-2.7539825	-0.07593173	1.4053082	0.013078067	0.128	4.0	1232.8936939239502
6	1.3462259	0.0	67.0	0.0	0.34895834	2.1582634	9.456583	21.576717	-15.654761	3.542907	1.415142	8.750571	0.9510418	20.53125	5.378051	2.6933303	9.357194	-5.8560715	28000	6.519258e-09	46.07509	1.2821238	-0.007138515	-2.516694	-0.07027392	1.3334138	0.013719998	0.2085	3.0	1437.4427275657654
7	1.3945574	0.0	79.0	0.0	0.395	2.6991503	10.6881695	26.477314	-16.052523	3.3151758	1.3157659	7.2723303	0.93003905	19.675	4.9446464	2.9598231	9.551148	-2.5573697	32000	-7.450581e-09	52.72009	1.135941	0.0008262582	-1.3961124	-0.076031014	1.2368324	0.01584917	0.16075	4.0	1642.5981585979462
8	1.4424914	0.0	70.0	0.0	0.36082473	4.1236057	10.612479	24.51737	-16.920254	3.1648612	1.2826575	7.7478147	0.9184999	20.474226	5.44953	3.190601	11.018177	-3.4774342	36000	1.6763806e-08	51.21827	1.1031115	-0.0044884467	-3.8557158	-0.040386513	1.1149817	0.017348025	0.19925	4.0	1851.804869890213
9	1.4899987	0.0	77.0	0.0	0.38118812	4.106033	10.61671	27.734833	-17.136875	3.0373747	1.242163	6.2032237	0.92224276	19.638615	6.4874806	2.9941156	10.882993	-3.1224148	40000	1.8626451e-09	48.82202	0.8748207	-0.011809627	-3.3876505	-0.04635708	0.9851497	0.009539553	0.110249996	79.0	2058.9747009277344
