Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
0	1.3500584	0.0	178.0	0.0	0.72064775	-6.5936437	8.382206	15.913011	-20.37135	4.496136	1.2097181	8.404424	1.1894279	16.17409	0.15508798	0.017632019	0.21264985	0.11579294	4000	-6.715267e-08	39.889717	1.2399116	-0.024582725	1.6086754	0.0046720374	0.0	524.7596836090088
1	1.3873364	0.0	50.0	0.0	0.6944444	-4.8976374	9.689863	18.43535	-19.38278	4.501148	1.2387147	9.227808	1.9100027	16.833334	4.844731	4.8352494	15.67449	-10.361372	8000	3.658882e-08	69.74368	0.39381573	-0.011636322	1.6041077	0.0045897164	0.0	1085.1427912712097
2	1.425021	0.0	71.0	0.0	0.56349206	-4.199375	8.884951	18.070229	-22.738188	4.3226686	1.5897994	10.10643	0.9236834	17.833334	-13.406425	11.540445	8.728439	-25.169052	12000	1.3744821e-08	90.252464	1.0248804	-0.019712614	1.5895486	0.0054884735	0.0	1635.5211572647095
3	1.4630336	0.0	159.0	0.0	0.6334661	-4.0743437	9.33097	24.365856	-18.422136	4.1059475	1.3671817	8.46798	0.6564168	15.900398	-2.909333	6.1582847	12.6249485	-23.611696	16000	-2.346147e-08	76.465996	1.4375105	-0.019798601	1.5513731	0.0051390226	0.0	2144.0497629642487
4	1.5013671	0.0	154.0	0.0	0.6184739	-3.4612622	9.735521	23.767044	-17.942247	4.009515	1.3371222	7.8940887	0.93660086	16.028112	-1.644169	4.715169	7.634661	-12.368785	20000	-2.4807592e-08	65.49259	1.4427127	-0.0253871	1.5172287	0.005198964	0.0	2664.890520334244
5	1.5398597	0.0	53.0	0.0	0.56989247	-2.513127	9.193123	20.51408	-17.45542	3.6869664	1.2447996	7.309162	0.91238236	16.107527	-3.352313	3.0976582	8.759181	-7.29579	24000	-3.488514e-08	65.76096	0.49071422	-0.013863723	1.5183791	0.006339542	0.0	3231.492898464203
6	1.5785773	0.0	131.0	0.0	0.5435685	-1.3575196	11.198018	21.635561	-19.376968	3.6780958	1.3222109	7.1687326	0.66773874	16.547718	-1.8972238	7.1305523	9.101932	-22.370193	28000	-1.5916067e-08	86.36539	1.3353496	-0.018231668	1.4066023	0.004770323	0.0	3751.559241771698
7	1.6174695	0.0	122.0	0.0	0.51914895	-0.91198295	10.591789	23.230871	-19.670448	3.5427268	1.2842611	7.772379	0.8540113	16.931915	0.84153414	4.297979	7.643504	-7.736133	32000	2.8191902e-09	73.73178	1.2063595	-0.021414522	1.3730769	0.00496171	0.0	4272.035269021988
8	1.6564102	0.0	109.0	0.0	0.47391304	-0.15386674	10.535925	23.73036	-18.399794	3.310136	1.3018253	5.966259	0.59677035	17.386957	1.0092065	2.3448713	4.033119	-3.9746547	36000	-2.5606766e-08	64.20691	1.1493639	-0.014594371	1.3262392	0.0047664894	0.0	4795.942006349564
9	1.6954318	0.0	83.0	0.0	0.39150944	1.7119234	10.457533	24.534365	-23.18839	3.2712944	1.3958632	8.397352	0.91742694	18.84434	2.3533666	2.6541195	5.3017464	-4.830915	40000	3.285215e-08	57.57562	1.2788705	-0.027625728	1.298376	0.0066636475	0.0	5340.697637319565
10	1.7345376	0.0	90.0	0.0	0.4225352	1.9385548	11.262496	24.65965	-17.314558	3.2137485	1.2871338	6.8623147	0.9235462	18.769953	3.7520669	2.2738585	6.769706	-4.874054	44000	-1.9217296e-08	53.53854	1.0775691	-0.017418256	1.2258538	0.0054536015	0.0	5869.879029989243
11	1.7735171	0.0	69.0	0.0	0.33495146	3.5431426	10.027053	26.900766	-15.643504	2.9157524	1.2346157	6.511797	0.90084016	19.407766	5.004039	3.5176623	9.014533	-8.005504	48000	1.100711e-08	43.090046	0.92450523	-0.019296603	1.1698432	0.006549565	0.0	6414.796089172363
12	1.8125851	0.0	73.0	0.0	0.36868685	3.0414114	10.363999	24.19075	-16.298683	3.0811894	1.197291	5.6900125	0.89009434	20.116161	6.277026	2.9782004	10.065589	-7.582726	52000	1.0500552e-09	44.94078	0.87319744	-0.012666847	1.116152	0.005244863	0.0	6977.157633304596
13	1.8517337	0.0	75.0	0.0	0.37688443	3.3277502	10.193361	24.189356	-16.758821	3.033189	1.2110772	5.804012	0.5608229	20.075377	5.641318	3.5448382	10.060837	-9.730338	56000	-9.911285e-09	43.831627	0.86850476	-0.013807145	1.0730135	0.00523727	0.0	7526.538448095322
14	1.8909456	0.0	81.0	0.0	0.40298507	3.2790048	10.913876	26.238735	-17.74222	2.978349	1.140435	6.067791	0.9114924	19.840796	5.8357363	3.442862	10.419887	-6.132142	60000	6.866551e-09	48.294876	0.798157	-0.016988466	1.0179754	0.007200884	0.0	8086.374912023544
