Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0099901	0.41935483	0.952767	1.3449236	0.5136366	0.5197212	0.06679575	-1.7372491	-0.27000672	1.2480999	1.23587	0.038498223	2.0000203e-05	3.5467842	8.360854	20.30327	-13.001489	1.033871	1.0976431	3.6	0.0	18.661291	5998	4000.0	253.5539538860321
2	1.0300517	0.2658228	0.863143	1.2905228	0.6137982	0.61331904	0.08238632	-1.6968105	-0.77666956	1.5687044	1.5598301	0.0331045	2.0200201e-05	5.2377343	30.53554	22.001755	-263.673	0.6702532	0.99393785	2.8	0.0	32.753166	6998	8000.0	493.1461706161499
3	1.0503163	0.23809524	0.7856245	1.1449975	0.6252297	0.6258889	0.099296406	-1.55548	-1.1472778	1.9100634	1.8997965	0.032456715	2.0402204e-05	9.389054	21.956833	24.466654	-257.82977	0.5779761	0.9634651	3.0	0.0	26.565475	7998	12000.0	728.3751504421234
4	1.0708208	0.21649484	0.7157538	1.0700425	0.77993715	0.780109	0.11360824	-1.7135786	-1.6091567	2.32679	2.3182328	0.031393077	2.0606221e-05	12.420678	7.385422	24.166954	-10.884452	0.49484536	0.9018733	2.8	0.0	20.5	8998	16000.0	955.1186110973358
5	1.0915635	0.20304568	0.6520385	0.9004542	0.89172226	0.8919728	0.12790516	-1.75975	-1.9082227	2.6258345	2.6199992	0.029179286	2.081229e-05	13.353719	7.3761125	25.466541	-10.63942	0.46091372	0.8846378	2.6	0.0	20.522842	9998	20000.0	1177.536517381668
6	1.1124848	0.24747474	0.5950923	0.69362354	0.9897058	0.98996264	0.1441406	-1.8021989	-2.1031606	2.866001	2.8613722	0.028017707	2.1020413e-05	13.781021	7.486636	26.473652	-5.027936	0.56666666	0.9713055	2.8	0.0	20.176767	10998	24000.0	1397.0113818645477
7	1.1335852	0.1875	0.54215825	0.5530953	1.156957	1.1568292	0.15520673	-2.047892	-2.5000024	3.0051396	3.001258	0.026399672	2.1230615e-05	14.858342	6.9751844	25.807219	-2.5174658	0.43593752	0.8765523	2.9	0.0	20.791666	11998	28000.0	1620.9184432029724
8	1.154924	0.22164948	0.49304882	0.43612072	1.3427756	1.3435124	0.16368689	-2.2318442	-2.7474554	3.085909	3.0821698	0.023936702	2.1442926e-05	15.623059	7.5277743	28.107817	-3.2073512	0.5113402	0.9260131	2.6	0.0	20.56701	12998	32000.0	1847.1661520004272
9	1.1765013	0.20512821	0.44887006	0.37109712	1.5602647	1.560784	0.17139058	-2.4876769	-3.104248	3.1266997	3.122746	0.022274	2.1657346e-05	15.9854	7.3123603	28.194628	-2.212499	0.48205128	0.93327975	2.9	0.0	20.68718	13998	36000.0	2069.9546303749084
10	1.1982571	0.22680412	0.40745944	0.32837704	1.8118645	1.8125163	0.17937118	-2.7620723	-3.4380429	3.103318	3.0986722	0.021199854	2.1873928e-05	15.851145	7.266973	26.153683	0.08230046	0.5314433	0.9594301	2.8	0.0	20.530928	15000	40000.0	2295.098960161209
11	1.2201922	0.23737374	0.36948553	0.3112563	2.0422575	2.042669	0.18830658	-2.9699092	-3.8396273	3.0438633	3.0382516	0.02094176	2.2092669e-05	16.067612	7.8022294	27.25404	-1.2627504	0.5742425	0.9919337	2.9	0.0	20.10101	15998	44000.0	2516.99507689476
12	1.2423654	0.23195876	0.33629566	0.28522354	2.2212725	2.2220728	0.19110498	-3.037983	-4.017733	2.9308004	2.9244018	0.019754097	2.2313585e-05	16.542797	7.727374	29.19946	-0.1839817	0.5365979	0.9592473	2.8	0.0	20.78866	17000	48000.0	2736.871922016144
13	1.2647771	0.15343915	0.30557096	0.25347418	2.4514728	2.4517846	0.19407074	-3.2205315	-4.240989	2.8648274	2.8572476	0.018869407	2.253672e-05	19.231323	7.321573	29.814137	0.99480534	0.35238093	0.82645226	2.6	0.0	21.16402	17998	52000.0	2958.3706154823303
14	1.2874272	0.14893617	0.27818716	0.23051092	2.6795728	2.6803486	0.19764645	-3.3644693	-4.390837	2.8062313	2.7984037	0.018562017	2.2762097e-05	19.43105	7.006286	30.103918	0.86924505	0.35904256	0.836325	3.1	0.0	21.138298	18998	56000.0	3181.787253141403
15	1.3103158	0.21243523	0.25223428	0.20777805	2.91823	2.9185553	0.1994523	-3.6009567	-4.8633575	2.714998	2.7057486	0.017564155	2.2989716e-05	18.141342	7.86902	31.052185	-0.47221965	0.4968912	0.9464362	3.1	0.0	20.756477	19998	60000.0	3404.2311720848083
