Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.99242264	0.35897437	0.9538649	1.1895835	0.4269882	0.432391	0.079639494	-1.6463017	-0.22797453	1.657709	1.6499764	0.057457857	2.0000203e-05	4.8481107	8.274963	21.81972	-27.05077	0.97230774	1.104839	4.1	0.0	20.076923	5998	4000.0	259.88497376441956
2	0.97971964	0.33333334	0.86226845	1.2593249	0.6590922	0.6579247	0.09310868	-1.9411775	-0.7801779	1.9826335	1.986251	0.05015734	2.0200201e-05	5.9591875	22.20966	21.444862	-252.2361	0.8202614	1.0785102	3.1	0.0	26.457516	6998	8000.0	475.82119941711426
3	0.9672538	0.2375	0.7810591	1.1418973	0.69912344	0.698361	0.100896604	-1.862861	-1.2337207	2.2372756	2.2390983	0.047245864	2.0402204e-05	11.539998	7.351385	23.048182	-8.5424	0.56875	0.9611964	3.1	0.0	20.475	7998	12000.0	688.0369145870209
4	0.9549692	0.2044199	0.7097771	1.0120152	0.78212476	0.7817195	0.107186384	-1.8595008	-1.5969148	2.5042887	2.5057285	0.043352928	2.0606221e-05	11.80974	21.014244	27.193499	-251.27936	0.4685083	0.8822076	2.7	0.0	26.104973	8998	16000.0	894.3426413536072
5	0.94333285	0.29411766	0.64672285	0.886987	0.92101234	0.92072976	0.11815033	-1.994445	-2.0266345	2.7851493	2.7863061	0.040572483	2.081229e-05	12.630512	7.9967813	26.420547	-5.6532464	0.6642157	0.998157	2.7	0.0	19.602942	9998	20000.0	1095.0218896865845
6	0.93289286	0.17098446	0.59001905	0.6674623	1.0311704	1.0313083	0.1251837	-2.0247126	-2.0964882	3.0355365	3.0356233	0.036634658	2.1020413e-05	15.767525	7.0640674	27.779827	-3.1085386	0.39430052	0.8262022	2.4	0.0	20.673574	10998	24000.0	1294.7751536369324
7	0.9238117	0.20512821	0.5377042	0.54484487	1.2047143	1.2047266	0.13589096	-2.2990496	-2.5573208	3.1261582	3.1256416	0.032563034	2.1230615e-05	15.538695	7.3659763	27.127365	-2.6561415	0.468718	0.9061589	3.2	0.0	20.553846	11998	28000.0	1489.6583409309387
8	0.91700494	0.21717171	0.4889506	0.4410815	1.3878433	1.387562	0.1441784	-2.4538286	-2.8007655	3.190574	3.1900165	0.029421521	2.1442926e-05	15.142558	7.6520414	26.786837	-2.32132	0.5065657	0.9313872	2.6	0.0	20.318182	13000	32000.0	1678.2537953853607
9	0.912303	0.1875	0.44536614	0.38402873	1.583823	1.5844297	0.1518262	-2.6201417	-3.0219364	3.1822414	3.1818023	0.026987758	2.1657346e-05	16.533957	7.1690016	27.126842	-5.0502844	0.421875	0.8547908	2.5	0.0	20.651041	13998	36000.0	1867.8949613571167
10	0.9105886	0.2	0.4052104	0.34240642	1.8048911	1.8051751	0.15958111	-2.8046975	-3.2690408	3.1143403	3.1132374	0.024906132	2.1873928e-05	16.806807	7.458315	27.710615	-1.8180376	0.46820515	0.9128228	2.7	0.0	20.66154	14998	40000.0	2060.229939699173
11	0.9121964	0.21761657	0.36683893	0.31295002	2.0765722	2.076522	0.1705197	-3.1478732	-3.9462917	3.0873091	3.087174	0.023596333	2.2092669e-05	17.403183	7.7411795	28.626312	0.738098	0.49896374	0.92579556	2.7	0.0	20.57513	15998	44000.0	2250.721658706665
12	0.9174242	0.171875	0.33242363	0.29108837	2.3247895	2.3251739	0.17573126	-3.39835	-4.31742	3.0197732	3.0188944	0.022554783	2.2313585e-05	18.10872	7.6863556	31.301323	-4.762932	0.40572917	0.8808841	3.0	0.0	20.802084	16998	48000.0	2443.0079913139343
13	0.92532355	0.21717171	0.30117688	0.26618648	2.5677261	2.5682256	0.18280807	-3.62159	-4.738531	2.9320478	2.9308355	0.021405334	2.253672e-05	17.30095	7.8735714	29.551088	-1.0814832	0.50656563	0.946662	2.7	0.0	20.348484	17998	52000.0	2634.8193769454956
14	0.93483365	0.18324608	0.27359644	0.23547496	2.7290697	2.729843	0.18305527	-3.6374211	-4.715173	2.818128	2.8159049	0.02086638	2.2762097e-05	18.00731	7.337396	29.768457	-0.8645965	0.44188482	0.9077472	2.9	0.0	20.82199	18998	56000.0	2823.498179912567
15	0.9451521	0.17021276	0.24910669	0.20755494	2.9544208	2.9545107	0.18590559	-3.7786334	-4.771444	2.7389736	2.7356293	0.020483905	2.2989716e-05	19.076336	7.4244037	30.326744	-1.257575	0.38882974	0.85036457	2.6	0.0	21.281916	19998	60000.0	3010.0738487243652
16	0.9568811	0.15873016	0.22677043	0.19040415	3.199921	3.2002666	0.19178627	-4.051719	-5.33637	2.6824393	2.678868	0.019664261	2.3219614e-05	18.800169	7.2391853	30.71037	-0.2546329	0.37777779	0.8469886	2.9	0.0	21.137566	20998	64000.0	3200.876378297806
17	0.9698824	0.1875	0.20525594	0.17248917	3.4243782	3.4246747	0.19191065	-4.241529	-5.660446	2.5607789	2.5586767	0.018896133	2.3451808e-05	19.006964	7.854856	30.073004	-0.96218467	0.44687498	0.90155566	3.3	0.0	20.885416	21998	68000.0	3387.0352942943573
18	0.9834823	0.18848167	0.18604594	0.15964065	3.6611388	3.661177	0.1966943	-4.4599543	-6.2047977	2.4895072	2.4877822	0.019041924	2.368633e-05	19.251768	7.779464	31.306536	0.052061424	0.45130888	0.9145054	2.7	0.0	21.047121	22998	72000.0	3573.060352563858
