Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0100236	0.3627451	0.9512213	1.180569	0.51265043	0.5180291	0.2166549	-1.4655554	-0.23764826	3.1187944	3.0661933	0.14506888	2.0000203e-05	4.6765833	7.8649273	20.700329	-13.262302	0.8735295	1.071322	3.5	0.0	19.362745	5998	4000.0	242.98561644554138
2	1.0301106	0.34299517	0.8645128	1.06112	0.72525513	0.7232123	0.23047318	-1.5113125	-0.64464325	2.5865571	2.5830615	0.11509563	2.0200201e-05	7.4869475	8.728078	22.855299	-12.925016	0.8111111	1.0245876	2.9	0.0	19.4686	6998	8000.0	460.67125177383423
3	1.0503764	0.2970297	0.78404295	1.0447637	0.893573	0.8923243	0.2318664	-1.625636	-1.079709	2.5617783	2.5626283	0.09970651	2.0402204e-05	9.5912075	8.227442	23.311163	-10.762	0.6975247	0.99097097	3.8	0.0	19.683168	7998	12000.0	679.6200687885284
4	1.0708809	0.23857868	0.712783	0.9548999	1.0404541	1.0400989	0.23031156	-1.6538641	-1.4293945	2.5460956	2.5489867	0.08635203	2.0606221e-05	11.769055	7.825877	27.495338	-8.240298	0.54010147	0.9161639	2.7	0.0	20.218273	8998	16000.0	900.1179609298706
5	1.0916235	0.26530612	0.64743674	0.9045626	1.2235649	1.2234267	0.2349989	-1.8168559	-1.8808628	2.5369375	2.5377734	0.07795404	2.081229e-05	12.360054	8.015055	26.126678	-8.138114	0.59591836	0.94679034	2.9	0.0	20.479591	9998	20000.0	1122.081127166748
6	1.1125449	0.235	0.5879323	0.84248054	1.4106716	1.410419	0.23956738	-1.9552859	-2.2711825	2.5066729	2.506258	0.06822503	2.1020413e-05	14.56709	7.6816907	25.804419	-5.175909	0.50350004	0.896068	2.4	0.0	20.03	10998	24000.0	1332.7584640979767
7	1.1336453	0.20707071	0.53334117	0.7567903	1.5842532	1.5845844	0.24454449	-2.0294354	-2.6002328	2.4693842	2.468972	0.06092841	2.1230615e-05	15.135943	6.987392	27.51168	-2.0736628	0.4520202	0.8649581	2.5	0.0	20.156565	11999	28000.0	1540.4076833724976
8	1.1549842	0.20918368	0.4837065	0.7013019	1.8055005	1.8053024	0.24786524	-2.262998	-3.0683417	2.4291577	2.428463	0.054212112	2.1442926e-05	16.25087	7.3009553	27.765131	-2.0258482	0.46071425	0.88573587	2.5	0.0	20.321428	12998	32000.0	1747.5309400558472
9	1.1765615	0.20918368	0.43892458	0.6313174	1.9771836	1.9767693	0.2507264	-2.3126981	-3.3157213	2.379979	2.3789663	0.049800325	2.1657346e-05	16.639013	7.663127	29.643194	-2.8960998	0.4535714	0.87676203	2.4	0.0	20.520409	13998	36000.0	1951.32151055336
10	1.1983174	0.22110553	0.3992271	0.56059057	2.1930919	2.1925972	0.2532548	-2.5420938	-3.70775	2.31347	2.3126132	0.044965945	2.1873928e-05	16.477627	7.6536303	28.059143	-1.9826733	0.48140705	0.8785015	2.6	0.0	20.201006	15000	40000.0	2151.295880317688
11	1.2202522	0.22727273	0.36201057	0.5075639	2.438026	2.437687	0.2575259	-2.8115396	-4.179217	2.2888324	2.2875516	0.042416975	2.2092669e-05	16.811209	7.481967	28.469963	0.57571304	0.49848482	0.9056209	2.7	0.0	20.11111	15998	44000.0	2354.8971405029297
12	1.2424256	0.24378109	0.32842174	0.42617443	2.6072042	2.607041	0.2588695	-2.8746629	-4.2643485	2.2655864	2.264291	0.039947983	2.2313585e-05	16.974443	7.972104	27.719894	-0.1558873	0.51691544	0.91162336	2.4	0.0	19.870647	16998	48000.0	2556.3972749710083
13	1.2648371	0.15544042	0.29861996	0.38630116	2.7937315	2.7940269	0.26123053	-2.999501	-4.5764604	2.2121844	2.210984	0.03797366	2.253672e-05	18.727636	7.296237	29.747087	-1.4005781	0.34455958	0.78455555	2.4	0.0	20.746115	17998	52000.0	2758.701002597809
14	1.2874873	0.23880596	0.27167937	0.33664188	3.016291	3.016429	0.2609041	-3.193769	-4.7744412	2.1820366	2.1804237	0.034794312	2.2762097e-05	17.51975	8.125487	30.943386	0.53614336	0.51641786	0.91612375	2.3	0.0	19.920399	18999	56000.0	2963.0235249996185
15	1.3103758	0.19387755	0.24640143	0.30969068	3.2431524	3.2426252	0.26412442	-3.4427676	-5.3383036	2.1616747	2.1595552	0.03423573	2.2989716e-05	18.543232	7.458694	32.21015	1.0917497	0.41734692	0.8481102	2.3	0.0	20.255102	19998	60000.0	3162.109805583954
16	1.3335028	0.20812182	0.22377458	0.25754392	3.3997378	3.3990202	0.2656703	-3.5073888	-5.327456	2.1060781	2.1025	0.03251882	2.3219614e-05	18.678907	7.867229	30.773148	-1.1604264	0.44923857	0.87750334	2.4	0.0	20.406092	20998	64000.0	3360.2779746055603
17	1.3568681	0.19796954	0.20278807	0.23700424	3.643621	3.643934	0.2692378	-3.7749667	-5.8743916	2.1210382	2.11588	0.032055233	2.3451808e-05	18.279783	7.771186	29.351324	-2.283793	0.4319797	0.8668999	2.4	0.0	20.284264	21998	68000.0	3558.122171640396
18	1.380472	0.24752475	0.18378702	0.21600641	3.9226186	3.9222357	0.26925847	-4.1303625	-6.545	2.1151438	2.1088262	0.030666234	2.368633e-05	18.256071	8.610894	33.411354	0.93421006	0.52871287	0.9189249	2.4	0.0	19.886139	22998	72000.0	3756.967617750168
19	1.4043142	0.19796954	0.16655569	0.18841441	4.101796	4.1015787	0.27123094	-4.245169	-6.74208	2.1166775	2.1094198	0.029723192	2.3923189e-05	19.063122	7.764554	31.625496	0.7821595	0.4335025	0.8687435	2.4	0.0	20.340101	23998	76000.0	3954.1865043640137
20	1.4283948	0.1631579	0.15147248	0.16170868	4.227184	4.2267323	0.27401647	-4.2553153	-6.673774	2.041472	2.0314624	0.028978307	2.4162418e-05	19.876354	7.65063	31.061289	-0.44348484	0.36631575	0.81552184	2.6	0.0	20.842106	24998	80000.0	4155.119597911835
21	1.452714	0.23	0.13773416	0.14524035	4.444307	4.4444	0.27435791	-4.476068	-7.0808897	2.036994	2.0237231	0.02829172	2.4404042e-05	18.4573	8.403475	30.48787	-1.8746618	0.49949998	0.9131537	2.4	0.0	20.15	25998	84000.0	4356.544934272766
22	1.4772712	0.2160804	0.124704376	0.13152973	4.7368226	4.7371306	0.2766227	-4.904878	-7.933463	2.1025488	2.084066	0.02836836	2.4648085e-05	18.906982	8.160624	32.158638	2.611537	0.46884423	0.8915202	2.3	0.0	20.065327	26998	88000.0	4554.439350366592
23	1.5020673	0.21538462	0.1130493	0.11919849	4.8498273	4.8489327	0.2804975	-4.869999	-7.5633163	2.0394783	2.016935	0.027736723	2.4894562e-05	19.278856	8.243276	31.642988	1.0293622	0.46564105	0.883814	2.3	0.0	20.471794	27998	92000.0	4754.9244656562805
